,evi,evi_origin
"Neosartorya_fumigata_34947074:Neosartorya fumigata
",3：血及无菌体液（如脓胸液）,sputum and bronchoalveolar lavage cultures sputum s sputum and bronchoalveolar lavage bronchoalveolar lavage cultures cultures sputum and bronchoalveolar lava sputum and br sputum and bronchoalveolar lavage cultures. sputum and Aspergillus fumigatus prevailed (73.3%) in sputum and bronchoalveolar lavage cultures lavage cultures. lavage cultures in sputum and bronchoalveolar lavage cultures and bronchoalveolar lavage cultures fumigatus prevailed (73.3%) in sputum and bronchoalveolar lavage cultures bronchoalveolar lavage cultures. bronchoalveolar lavage Aspergillus fumigatus prevailed (73.3%) in sputum serum galactomannan and hospitalization length. Aspergillus fumigatus prevailed (73.3%) in sputum
"Neosartorya_fumigata_34951498:Neosartorya fumigata
",2：肺组织病原学证据,"tested tested for viral, bacterial and fungal pathogens tested for tested for viral, bacterial and fungal pathogen for viral, bacterial and fungal pathogens tested for viral, bacterial and fungal pathogens on invasive ventilation and were tested tested for viral, bacterial and fungal pathogens on day 0-7, 8-14 and 15-21 after the initiation of mechanical ventilation pathogens were tested tested for viral, bacterial and fungal pathogens on day 102 cases, 74 (72.5%) received invasive ventilation and were tested for invasive ventilation and were tested for viral, bacterial and fungal pathogens received invasive ventilation and were tested were tested for viral, bacterial and fungal pathogens viral, bacterial and fungal pathogens 102 cases, 74 (72.5%) received invasive ventilation and were tested for viral, bacterial and fungal pathogens received invasive ventilation and were tested for viral, bacterial and fungal pathogens for viral, bacterial and fungal pathogen"
"Neosartorya_fumigata_34969112:Neosartorya fumigata
",none,"resistance antifungal resistance. antifungal fungal infections emerging fungal infections infections fungal infections, This review highlights emerging fungal infections fungi fungal emerging fungal clinical microbiology laboratories clinical microbiology laboratories should remain vigilant regarding emerging fungal infections caused by fungi fungal infections, including newly described species Infections caused by fungi by fungi Antifungal Resistance.ABSTRACT:BACKGROUND: Infections caused by fungi New Names, and Antifungal Resistance.ABSTRACT:BACKGROUND: Infections caused by fungi fungal co-infections"
"Neosartorya_fumigata_34969623:Neosartorya fumigata
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,bronchoalveolar lavage fluid (BALF) remaining bronchoalveolar lavage fluid bronchoalveolar lavage fluid (BALF) bronchoalveolar lavage fluid (BALF CRISPR assay bronchoalveolar lavage bronchoalveolar lavage fluid (BALF) remaining from routine examinations of patients with confirmed pulmonary aspergillosis br genomic DNA bronchoalveolar lavage fluid (BALF) remaining from routine examinations bronchoalveolar lavage fluid (BALF) remaining from routine examinations of patients with confirmed pulmonary aspergillosis were collected CRISPR assay. RESULTS: No amplification signal was observed when genomic DNA remaining from routine examinations of patients with confirmed pulmonary aspergillosis were collected to further validate the CRISPR assay remaining assay. isolates and 43 bronchoalveolar lavage fluid (BALF) remaining assay routine examinations of patients with confirmed pulmonary aspergillosis were collected to further validate the CRISPR assay CRISPR assay. RESULTS: No amplification signal amplification signal was observed when genomic DNA
"Neosartorya_fumigata_34984061:Neosartorya fumigata
",3：血及无菌体液（如脓胸液）,"Chest x-ray showed extensive bilateral pulmonary infiltrates x-ray showed extensive bilateral pulmonary infiltrates Laboratory tests pulmonary infiltrates infiltrates. Chest x-ray showed extensive bilateral pulmonary infiltrates. extensive bilateral pulmonary infiltrates antibodies Chest computed tomography Chest x-ray bilateral pulmonary infiltrates Laboratory tests revealed elevated white blood cell count, sedimentation rate, and immunoglobulin E. Chest computed tomography growth of a previously noted right upper lobe intracavitary lesion x-ray infiltrates Chest computed tomography demonstrated growth of a previously noted right upper lobe intracavitary lesion growth positive antibodies elevated white blood cell count, sedimentation rate, and immunoglobulin E. Chest computed tomography Hypersensitivity pneumonitis panel demonstrated positive antibodies"
"Neosartorya_pseudofischeri_14766893:Neosartorya pseudofischeri
",3：血及无菌体液（如脓胸液）,blood culture serum antigen in the patient's serum X-ray and computer tomography scan results as well as the detection of Aspergillus antigen in the patient's serum blood Aspergillus antigen in the patient's serum blood culture system blood culture system. The final diagnosis was established based on X-ray and computer tomography scan results detection of Aspergillus antigen in the patient's serum antigen in the patient's serum. culture s serum a positive blood culture the patient's serum positive blood culture the detection of Aspergillus antigen in the patient's serum antigen blood culture for a strain isolated X-ray and computer tomography scan results as well as the detection of Aspergillus antigen blood culture for a strain
"Neosartorya_pseudofischeri_24829237:Neosartorya pseudofischeri
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,DNA sequencing respiratory specimens as Aspergillus fumigatus using colonial and microscopic morphology. DNA sequencing respiratory specimens colonial and microscopic morphology. DNA sequencing respiratory specimens as Aspergillus fumigatus using colonial and microscopic morphology DNA sequencing specimens as Aspergillus fumigatus using colonial and microscopic morphology. DNA sequencing specimens respiratory specimens as Aspergillus fumigatus using colonial and microscopic morphology. DNA morphology. DNA sequencing colonial and microscopic morphology microscopic morphology. DNA sequencing DNA se respiratory colonial and microscopic morphology. DNA respiratory specimens as Aspergillus fumigatus using colonial and microscopic morphology. DNA se respiratory specimens as Aspergillus fumigatus using colonial using colonial and microscopic morphology. DNA sequencing DNA sequencing subsequently identified
"Neosartorya_pseudofischeri_31891387:Neosartorya pseudofischeri
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,"genome sequencing genome sequencing, 3D modelling and phenotypic efflux pump assays screened for azole resistance, and resistance mechanisms were investigated with the combined use of genome sequencing azole resistance, and resistance mechanisms were investigated with the combined use of genome sequencing isolates genome isolates from 807 patients at a Montreal hospital was screened for azole resistance, and resistance mechanisms were investigated with the combined use of genome sequencing, sequencing sequencing, resistance, and resistance mechanisms were investigated with the combined use of genome sequencing Aspergillus section Fumigati comprising 999 isolates assays. screened genome se genome sequencing, 3D modelling and phenotypic efflux pump genome sequencing, 3D modelling and phenotypic efflux pump ass sequencing, 3D modelling and phenotypic efflux pump assays sequencing, 3D modelling and phenotypic efflux pump assays. genome sequencing, 3D modelling assays"
"Neosartorya_udagawae_25379388:Neosartorya udagawae
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,cultures of multiple respiratory specimens cultures multiple respiratory specimens in cultures of multiple respiratory specimens in cultures respiratory specimens DNA sequencing rapidly in cultures of multiple respiratory specimens rapidly in cultures cultures of multiple specimens cultures of DNA grew rapidly in cultures of multiple respiratory specimens grew rapidly in cultures cultures of multiple respiratory specimens from cultures of multiple respiratory of multiple respiratory specimens multiple This mold grew rapidly in cultures of multiple respiratory specimens
"Neosartorya_udagawae_33551426:Neosartorya udagawae
",none,lung and subcutaneous nodule samples assay from lung and subcutaneous nodule samples assay samples from lung and subcutaneous nodule samples lung and subcutaneous nodule assay from lung and subcutaneous nodule nodule samples subcutaneous nodule samples and subcutaneous nodule samples lung assay from lung ass lung and subcutaneous nodule samples identified the presence Aspergillus udagawae assay from lung and subcutaneous nodule samples identified the presence Aspergillus udagawae assay from lung and subcutaneous nodule samples identified the presence lung and subcutaneous nodule samples identified the presence Aspergillus udagawae. A. udagawae assay from lung and subcutaneous nodule samples identified the presence assay from lung and subcutaneous nodule samples identified the presence Aspergillus udagawae. A. udagawae
"Neoscytalidium_dimidiatum_21410320:Neoscytalidium dimidiatum
",none,Neoscytalidium dimidiatum Pulmonary fungal infection Pulmonary fungal infection caused by Neoscytalidium dimidiatum infection infection caused by Neoscytalidium dimidiatum Neoscytalidium dimidiatumID:21410320TITLE:Pulmonary fungal infection caused by Neoscytalidium dimidiatum Neoscytalidium dimidiatum in a Risso's dolphin (Grampus griseus a Risso's dolphin (Grampus griseus Neoscytalidium dimidiatum in a Risso's dolphin Risso's dolphin (Grampus griseus Neoscytalidium dimidiatum in a Risso's dolphin (Grampus griseus) a Risso's dolphin infection caused by Neoscytalidium dimidiatum in a Risso's dolphin (Grampus griseus Grampus griseus a Risso's dolphin (Grampus griseus) caused by Neoscytalidium dimidiatum in a Risso's dolphin (Grampus griseus Pulmonary fungal infection caused by Neoscytalidium dimidiatum in a Risso's dolphin Risso's dolphin Risso's dolphin (Grampus griseus)
"Neoscytalidium_dimidiatum_25948605:Neoscytalidium dimidiatum
",none,this case susceptibility susceptibility data from this case susceptibility data this case and previous literature this this case and previous literature. pulmonary infection case susceptibility data from pulmonary infection with Neoscytalidium dimidiatum susceptibility data from this case and previous literature susceptibility data from this susceptibility data from this case and previous literature. infection systemic infection. We report a case of pulmonary infection case and previous literature case and previous literature. systemic infection infection with Neoscytalidium dimidiatum
"Neoscytalidium_dimidiatum_34603948:Neoscytalidium dimidiatum
",none,surgical culture The surgical culture culture pathological findings showed filamentous septate hyphae. The surgical culture filamentous septate hyphae. The surgical culture surgical The pathological findings showed filamentous septate hyphae. The surgical culture abscess drainage and craniectomy. The pathological findings showed filamentous septate hyphae. The surgical culture surgical culture rapidly grew wool-like colonies surgical culture rapidly surgical culture rapidly grew wool surgical culture rapidly grew surgical culture rapidly grew wool-like colonies with a black reverse surgical culture rapidly grew wool-like colonies with a black reverse on Sabouraud agar The surgical pathological findings showed filamentous septate hyphae. The surgical abscess drainage and craniectomy. The pathological findings showed filamentous septate hyphae. The surgical filamentous septate hyphae. The surgical wool-like colonies The surgical culture rapidly grew wool-like colonies
"Neoscytalidium_dimidiatum_34758426:Neoscytalidium dimidiatum
",none,isolated from the sinus the sinus sinus isolated Neoscytalidium dimidiatum was isolated from the sinus isolated from the sin from the sinus isolated from the isolated from the sinus of the patient isolated from the sin sin Neoscytalidium dimidiatum was isolated the isolated from the sinus of the patient. Results of in vitro susceptibility tests isolated from the sinus of the patient. Results of in vitro susceptibility tests indicated that the case isolate the sinus of the patient dimidiatum was isolated from the sinus sinus of the patient was isolated from the sinus
"Neoscytalidium_mangiferae_34758426:Neoscytalidium mangiferae
",none,isolated from the sinus the sinus sinus isolated Neoscytalidium dimidiatum was isolated from the sinus isolated from the sin from the sinus isolated from the isolated from the sinus of the patient isolated from the sin sin Neoscytalidium dimidiatum was isolated the isolated from the sinus of the patient. Results of in vitro susceptibility tests isolated from the sinus of the patient. Results of in vitro susceptibility tests indicated that the case isolate the sinus of the patient dimidiatum was isolated from the sinus sinus of the patient was isolated from the sinus
"Nosema_algerae_22385431:Nosema algerae
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,"tissue sections of the tongue and deltoid muscle. Light microscopy tissue sections light microscopic examination of tissue sections of the tongue and deltoid muscle. Light microscopy light microscopic examination of tissue sections tissue Light microscopy light microscopic examination of tissue post-mortem light microscopic examination of tissue sections of the tongue and deltoid muscle. Light microscopy Light microscopy diagnosed a microsporidial myositis, confirmed by transmission electron microscopy post-mortem light microscopic examination of tissue sections post-mortem light microscopic examination of tissue light microscopic examination polymerase chain reaction post-mortem light microscopic examination tissue sections of the tongue tissue sections of the tongue and deltoid muscle light light microscopic examination of tissue sections of the tongue light microscopic examination of tissue sections of the tongue and deltoid muscle tissue sections of the tongue and deltoid muscle. Light"
"Nosema_algerae_34391631:Nosema algerae
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,DNA analysis DNA analysis by PCR and electron microscopy DNA DNA analysis by PCR Light microscopy analysis skeletal muscle PCR and electron microscopy muscle biopsy analysis by PCR and electron microscopy DNA analysis by PCR and electron microscopy confirmed microsporidial myositis muscle biopsy was performed to investigate the cause of an unexplained myositis. Light microscopy DNA analysis by PC PCR Post-mortem examination of skeletal muscle analysis by PCR microscopy myocyte cytoplasm resembling microsporidia. DNA analysis biopsy Light
"Nosema_corneum_22265899:Nosema corneum
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,"PCR and DNA sequencing pulmonary specimens DNA sequencing sequencing. PCR urine. In pulmonary specimens PCR and DNA sequencing. sequencing PC pulmonary urine specimens PCR and DNA specimens from HIV-positive and HIV-negative patients using PCR and DNA sequencing PCR and DNA se using PCR and DNA sequencing PCR and DNA sequencing. In stools pulmonary specimens from HIV-positive and HIV-negative patients using PCR and DNA sequencing and DNA sequencing 1989 stools, 69 urine and 200 pulmonary specimens from HIV-positive and HIV-negative patients using PCR and DNA sequencing"
"Nosema_corneum_9868671:Nosema corneum
",5：气管吸出物或痰/BALF纯培养或优势培养出病原体,isolated from urine and a sinunasal aspirate urine and a sinunasal aspirate Microsporidial spores were isolated from urine and a sinunasal aspirate isolated from urine urine isolated isolated from urine and a sinunasal aspirate and were propagated in MRC-5 cell cultures urine and a sinunasal aspirate and were propagated in MRC-5 cell cultures spores were isolated from urine and a sinunasal aspirate Microsporidial spores were isolated from urine Microsporidial spores were isolated Microsporidial spores were isolated from urine and a sinunasal aspirate and were propagated in MRC-5 cell cultures from urine and a sinunasal aspirate Microsporidial spores aspirate isolated from urine and spores were isolated from urine urine and spores were isolated and a sinunasal aspirate
"Ochroconis_gallopava_12509933:Ochroconis gallopava
",none,slant of the 4 test tubes 3 days after culture slant of the 4 test tubes cultured on Sabouraud dextrose agar in four test tubes Fungal colonies of the same characteristics grew on the slant of the 4 test tubes 3 days after culture Fungal colonies of the same characteristics grew on the slant of the 4 test tubes lung cavity the lung cavity lung cavity were cultured on Sabouraud dextrose agar in four test tubes the lung cavity were cultured on Sabouraud dextrose agar in four test tubes slant Fungal colonies of the same characteristics grew on the slant Sabouraud dextrose agar in four test tubes colonies of the same characteristics grew on the slant of the 4 test tubes 3 days after culture Microscopy colonies of the same characteristics grew on the slant of the 4 test tubes Fungal colonies from the lung cavity grew on the slant of the 4 test tubes 3 days after culture cultured grew on the slant of the 4 test tubes
"Ochroconis_gallopava_18651872:Ochroconis gallopava
",none,"pulmonary infection O. gallopava pulmonary infection infection SOT recipients with a particular tropism for the CNS. Early recognition of O. gallopava pulmonary infection infections O. gallopava infections Early recognition of O. gallopava pulmonary infection SOT recipients and analyzed the impact of CNS infection infect SOT recipients with a particular tropism for the CNS. Early recognition of O. gallopava pulmonary infection gallopava may infect SOT recipients with a particular tropism for the CNS. Early recognition of O. gallopava pulmonary infection recognition of O. gallopava pulmonary infection infections in SOT recipients and analyzed the impact of CNS infection SOT recipients infections in SOT recipients O. gallopava infections in SOT recipients and analyzed the impact of CNS infection gallopava infections O. gallopava pulmonary infection is important, as the prognosis is excellent before dissemination to the brain pulmonary Ochroconis infections O. gallopava infections in SOT recipients"
"Ochroconis_gallopava_21955216:Ochroconis gallopava
",none,infection is diagnosed prior to dissemination infection organ transplant recipients is good if infection is diagnosed prior to dissemination organ transplant recipients is good if infection Optimal therapy remains undefined. Prognosis in organ transplant recipients is good if infection is diagnosed prior to dissemination. Optimal therapy remains undefined. Prognosis in organ transplant recipients is good if infection infection is diagnosed prior to dissemination. dissemination Prognosis in organ transplant recipients is good if infection is diagnosed prior to dissemination Prognosis in organ transplant recipients is good if infection diagnosed prior to dissemination organ transplant recipients . organ transplant recipients is good if infection is diagnosed prior to dissemination. infection is diagnosed Optimal therapy remains undefined. Prognosis in organ transplant recipients Optimal therapy Prognosis in organ transplant recipients Optimal therapy remains undefined. Prognosis organ transplant
"Ochroconis_gallopava_23601080:Ochroconis gallopava
",none,"infection disseminated O. gallopava infection infection that involved lung, subcutaneous area, brain and peritoneum mycosis in solid organ transplant recipients. Herein, we report a rare case of disseminated O. gallopava infection O. gallopava infection solid organ transplant recipients. Herein, we report a rare case of disseminated O. gallopava infection disseminated O. gallopava infection that involved lung, subcutaneous area, brain and peritoneum a rare case of disseminated O. gallopava infection lung, subcutaneous area, brain and peritoneum infection that involved lung, subcutaneous area infection that involved lung, subcutaneous area, brain and peritoneum in a heart transplant recipient O. gallopava infection that involved lung, subcutaneous area, brain and peritoneum infection that involved lung, subcutaneous area, brain and peritoneum in a heart transplant recipient. Despite voriconazole therapy involved lung, subcutaneous area, brain and peritoneum infection that involved lung disseminated O. gallopava infection that involved lung, subcutaneous area infection that involved lung, subcutaneous area, brain Disseminated Ochroconis gallopava infection a rare case of disseminated O. gallopava infection that involved lung, subcutaneous area, brain and peritoneum disseminated O. gallopava infection that involved lung, subcutaneous area, brain and peritoneum in a heart transplant recipient"
"Ochroconis_gallopava_25232157:Ochroconis gallopava
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,"sequence analyses morphologically and molecularly based on sequence analyses molecularly based on sequence analyses sequence sequence analyses of the nuclear ribosomal RNA (nrRNA), actin, and beta-tubulin genes morphologically and molecularly based on sequence analyses molecularly based on sequence molecularly based on sequence analyses of the nuclear ribosomal RNA (nrRNA), actin, and beta-tubulin genes identified morphologically and molecularly based on sequence analyses the nuclear ribosomal RNA (nrRNA), actin, and beta-tubulin genes on sequence analyses morphologically and molecular 51 isolates was identified morphologically and molecularly based on sequence analyses isolates was identified morphologically and molecularly based on sequence analyses nuclear ribosomal RNA (nrRNA), actin, and beta-tubulin genes molecular morphologically and molecularly analyses of the nuclear ribosomal RNA (nrRNA), actin, and beta-tubulin genes based on sequence analyses"
"Ochroconis_gallopava_28002285:Ochroconis gallopava
",none,respiratory tract infection infection O. gallopava respiratory tract infection right lung transplant was admitted to the hospital for O. gallopava respiratory tract infection lung transplant was admitted to the hospital for O. gallopava respiratory tract infection tract infection a right lung transplant was admitted to the hospital for O. gallopava respiratory tract infection chronic immunosuppression after a right lung transplant was admitted to the hospital for O. gallopava respiratory tract infection admitted to the hospital for O. gallopava respiratory tract infection endophthalmitis respiratory tract respiratory tract infection and was found to have bilateral endogenous endophthalmitis O. gallopava endophthalmitis endophthalmitis using a combination of intravitreal amphotericin B and voriconazole injections the fundus respiratory tract infection and was found to have bilateral endogenous endophthalmitis. Examination successful treatment regimen against O. gallopava endophthalmitis This report describes the first successful treatment regimen against O. gallopava endophthalmitis the first successful treatment regimen against O. gallopava endophthalmitis fundus
"Ochroconis_gallopava_28884072:Ochroconis gallopava
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,"sputum culture sputum culture, and was identified by DNA analysis culture DNA analysis culture, and was identified by DNA analysis sputum on sputum culture sputum culture, sputum culture, and was identified by DNA grew on sputum culture A filamentary mould grew on sputum culture analysis on sputum culture, and was identified by DNA analysis DNA filamentary mould grew on sputum culture s grew on sputum culture, and was identified by DNA analysis A filamentary mould grew on sputum culture, and was identified by DNA analysis culture, and was identified by DNA filamentary mould grew on sputum culture, and was identified by DNA analysis"
"Paecilomyces_11101597:Paecilomyces
",1：同时具备肺组织病理+病原学证据,Aspiration of brain abscess Culture of this material Lung biopsy showed necrotizing fungal pneumonia with negative culture Lung biopsy Culture of this material grew Acrophialophora fusispora. Lung biopsy Culture brain abscess this material Aspiration of brain abscess was performed and the Gomori methenamine silver stain was positive for hyphal elements. Culture Aspiration Aspiration of brain abscess was performed and the Gomori methenamine silver stain brain abscess was performed and the Gomori methenamine silver stain was positive for hyphal elements. Culture of this material this material grew Acrophialophora fusispora. Lung biopsy showed necrotizing fungal pneumonia with negative culture abscess this material grew Acrophialophora fusispora. Lung biopsy the Gomori methenamine silver stain was positive for hyphal elements. Culture of this material Gomori methenamine silver stain was positive for hyphal elements. Culture of this material Lu Culture of this brain abscess was performed and the Gomori methenamine silver stain was positive for hyphal elements. Culture
"Paecilomyces_12041651:Paecilomyces
",1：同时具备肺组织病理+病原学证据,"Spinal radiographs, transtracheal washes fungal culture transtracheal washes Spinal radiographs, transtracheal washes, Spinal radiographs, transtracheal washes, histopathology, and fungal culture positive culture represents an etiology or a contamination with an environmental saprophyte. Spinal radiographs, transtracheal washes washes, transtracheal washes, histopathology, and fungal culture radiographs, transtracheal washes washes histopathology, and fungal culture a positive culture represents an etiology or a contamination with an environmental saprophyte. Spinal radiographs, transtracheal washes environmental saprophyte. Spinal radiographs, transtracheal washes an environmental saprophyte. Spinal radiographs, transtracheal washes washes, histopathology, and fungal culture Spinal radiographs, transtracheal washes, histopathology radiographs, transtracheal washes, histopathology, and fungal culture fungal culture have proven to be valuable diagnostic tools. The prognosis for paecilomycosis transtracheal washes, histopathology environmental saprophyte. Spinal radiographs, transtracheal washes, histopathology, and fungal culture"
"Paecilomyces_1611140:Paecilomyces
",2：肺组织病原学证据,upper lobe pulmonary infection pulmonary infection an upper lobe pulmonary infection infection upper lobe pulmonary infection due to Paecilomyces varioti lobe pulmonary infection upper lobe upper upper lobe pulmonary We report a diabetic patient who developed an upper lobe pulmonary infection pulmonary infection due to Paecilomyces varioti developed an upper lobe pulmonary infection upper lobe pulmonary infection due to Paecilomyces varioti. This pneumonia upper lobe pulmonary infection due diabetic patient who developed an upper lobe pulmonary infection patient who developed an upper lobe pulmonary infection soil fungus that is an uncommon human pathogen. We report a diabetic patient who developed an upper lobe pulmonary infection saprophytic soil fungus that is an uncommon human pathogen. We report a diabetic patient who developed an upper lobe pulmonary infection an upper lobe pulmonary infection due to Paecilomyces varioti upper lobe pulmonary infection due to
"Paecilomyces_1805416:Paecilomyces
",1：同时具备肺组织病理+病原学证据,"sputum sputum, blood, pulmonary tissue sputum, blood s sputum, blood, pulmonary tissue, the presence of allergen-specific IgE and/or IgG antibodies sputum, blood, pulmonary tissue, the presence of allergen sputum, eosinophilia, the presence of the tissue parasitic form of the fungus in sputum blood, pulmonary tissue the tissue parasitic form of the fungus in sputum tissue parasitic form of the fungus in sputum blood, pulmonary tissue, the presence of allergen-specific IgE and/or IgG antibodies in patients' sera sera sputum, blood, pulmonary tissue, blood allergen-specific IgE and/or IgG antibodies in patients' sera sputum, blood, pulmonary tissue, the presence of allergen-specific IgE and/or IgG antibodies in patients' sera, eosinophilia, the presence of the tissue parasitic form of the fungus in sputum, blood, pulmonary tissue patients' sera pulmonary tissue"
"Paecilomyces_1813580:Paecilomyces
",none,Fungal cultures cultures Fungal cultures were performed Fun Fungal aspirated commercial activated charcoal was reviewed. Fungal cultures Fungal cultures were performed for 2 samples of an activated charcoal in sorbitol product Fungal cultures were performed for 2 samples Fungal cultures were performed for Fungal cultures were clinical course of a patient who aspirated commercial activated charcoal was reviewed. Fungal cultures Fungal cultures were performed for 2 commercial activated charcoal was reviewed. Fungal cultures reviewed. Fungal cultures Fungal cultures were performed for 2 samples of an activated charcoal in sorbitol cultures were performed lower respiratory tract. DESIGN: The clinical course of a patient who aspirated commercial activated charcoal was reviewed. Fungal cultures cultures of samples The clinical course of a patient who aspirated commercial activated charcoal was reviewed. Fungal cultures isolated from cultures
"Paecilomyces_21367720:Paecilomyces
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,genomic sequencing cultured isolates by genomic sequencing genomic sequencing of the internal transcribed spacer region genomic sequencing g cultured isolates genomic se geno culture cultured isolates by genomic sequencing of the internal transcribed spacer region cultured isolates by genomic genomic sequencing of cultured isolates by g cultured isolates by genomic se identified from cultured isolates by genomic sequencing by genomic sequencing sequencing of the internal transcribed spacer region genomic sequencing of the internal transcribed spacer genomic sequencing of the
"Paecilomyces_23819077:Paecilomyces
",none,cell transplantation transplantation cell transplantation and developed pneumonia due to Paecilomyces variotii cell transplantation and developed pneumonia due to Paecilomyces variotii. They also review the published case reports of pneumonia caused by this fungus this fungus fungus transplantation and developed pneumonia due to Paecilomyces variotii. Paecilomyces variotii developed pneumonia due to Paecilomyces variotii pneumonia caused by this fungus transplantation and developed pneumonia due to Paecilomyces variotii. They also review the published case reports of pneumonia caused by this fungus. Paecilomyces variotii. They also review the published case reports of pneumonia caused by this fungus cell transplant They also review the published case reports of pneumonia caused by this fungus developed pneumonia due to Paecilomyces variotii. They also review the published case reports of pneumonia caused by this fungus cell transplantation and developed pneumonia due to Paecilomyces variotii. They also review the published case reports of pneumonia cell transplantation and developed pneumonia cell transplantation and developed pneumonia due to Paecilomyces variotii. They also review the published case reports cell transplantation and developed pneumonia due to Paecilomyces cell transplantation and developed pneumonia due to Paecilomyces variotii. They
"Paecilomyces_23902144:Paecilomyces
",none,"Rasamsonia argillacea species complex, previously known as Geosmithia argillacea colonizations/infections by Rasamsonia argillacea species complex, previously known as Geosmithia argillacea infections by Rasamsonia argillacea species complex, previously known as Geosmithia argillacea colonizations/infections Geosmithia argillacea R. argillacea species complex infections R. argillacea taxonomy, pathogenesis and clinical relevance.ABSTRACT:Since 2010, colonizations/infections Rasamsonia argillacea species complex colonizations/infections by Rasamsonia argillacea species complex ABSTRACT:Since 2010, colonizations/infections species complex, previously known as Geosmithia argillacea CF lungs Rasamsonia argillacea species complex, previously known as Geosmithia argillacea, have been regularly reported in literature pathogenesis and clinical relevance.ABSTRACT:Since 2010, colonizations/infections species complex infections by Rasamsonia argillacea species complex Geosmithia argillacea, have been regularly reported in literature. We reviewed all available cases 2010, colonizations/infections by Rasamsonia argillacea species complex, previously known as Geosmithia argillacea"
"Paecilomyces_26027241:Paecilomyces
",3：血及无菌体液（如脓胸液）,"microscopically examining the morphology of the fungi in the pathological material microscopically examining the morphology of the fungi in the pathological material (blood, sputum microscopically examining the morphology of the fungi in the pathological material (blood blood, sputum blood micro microscopically examining the morphology of the fungi in the pathological pathological material microscopically examining the morphology of the fungi pathological material (blood, sputum microscopically examining the morphology microscopically examining the morphology of the fungi in the pathological material (blood, sputum) and by isolating the cultured fungi microscopically examining the morphology of the fungi in the pathological material (blood, sputum) microscopically examining the morphology of the fungi in the path pathological material (blood microscopic microscopically blood, sputum) and by isolating the cultured fungi in the media blood, sputum) and by isolating the cultured fungi blood, sputum)"
"Paecilomyces_26036497:Paecilomyces
",none,"IFI 45 IFI IFI between 2003 and 2013, according to the EORTC-MSG criteria. RESULTS: We identified 45 IFI We identified 45 IFI EORTC-MSG criteria. RESULTS: We identified 45 IFI IFI. RESULTS: We identified 45 IFI MSG criteria. RESULTS: We identified 45 IFI a culture-proven or probable IFI kidney transplant recipients IFI. There were 13 cases of invasive candidiasis Invasive Fungal Infections After Kidney Transplantation 45 IFI. There were 13 cases of invasive candidiasis Invasive Fungal Infections After Kidney Transplantation: A Single-center Experience IFI still have a high mortality and morbidity in kidney transplant recipients kidney transplant recipients, as verified in this report. We reinforce the need for a high index of suspicion and prompt treatment Experience Single-center Experience Fifteen patients died (33%). Mortality rates were 15% for invasive candidiasis Kidney Transplantation"
"Paecilomyces_27114730:Paecilomyces
",3：血及无菌体液（如脓胸液）,pleural effusion effusion pleural effusion due to this fungus this fungus pleural effusion due pleural pleural effusion due to this fungus. pleural effusion due to this fungus effusion due to this fungus. pleural e pleural eff pleural effusion due to effusion due to this fungus due to this fungus this fungus. pneumonia this effusion due Pulmonary Paecilomyces
"Paecilomyces_27401982:Paecilomyces
",none,"microbiological identification methods and clinical management of infections caused by this organism microbiological identification methods antifungal susceptibility profiles, microbiological identification methods and clinical management of infections caused by this organism antifungal susceptibility profiles antifungal susceptibility profiles, microbiological identification methods microbiological identification methods and clinical management of infections this organism antifungal susceptibility profiles, microbiological identification methods and clinical management of infections infections caused by this organism microbiological identification methods and clinical management of infections caused by this organism is also reviewed. microbiological identification microbiological identification methods and clinical management microbiological identification methods and clinical management of infections caused by this organism is also reviewed microbiological voriconazole current literature related to antifungal susceptibility profiles, microbiological identification methods and clinical management of infections caused by this organism organism current literature related to antifungal susceptibility profiles voriconazole. The current literature related to antifungal susceptibility profiles antifungal susceptibility profiles, microbiological identification methods and clinical management of infections caused by this organism is also reviewed."
"Paecilomyces_28450485:Paecilomyces
",none,VS) embryo recipient gimmers associated with Paecilomyces variotiiAmyloidosis VS). embryo recipient gimmers embryo recipient gimmer dosing gun injury in a eweRhinitis and middle ear infection VS embryo recipient gimmers associated with Paecilomyces variotiiAmyloidosis secondary to dosing gun injury gimmers associated with Paecilomyces variotiiAmyloidosis Paecilomyces variotiiAmyloidosis secondary to dosing gun injury in a eweRhinitis and middle ear infection embryo recipient gimmers middle ear infection Paecilomyces variotiiAmyloidosis gimmer embryo dosing gun injury in a eweRhinitis Toe tip necrosis syndrome in calvesAbortions in embryo recipient gimmers dosing gun injury calvesAbortions in embryo recipient gimmers associated with Paecilomyces variotiiAmyloidosis
