,gender,gender_origin
"Coccidioides_seeberia_28053216:Coccidioides seeberia
",none,"controls 103 cases of coccidioidomycosis and 373 controls 170 170 controls 103 103 cases 373 controls cases of coccidioidomycosis and 373 controls 103 cases of coccidioidomycosis and 373 170 controls from areas in which the disease is endemic and 44 cases patients from 103 cases of coccidioidomycosis and 373 controls cases 103 cases of coccidioidomycosis and 37 373 cases of coccidioidomycosis and 373 from 103 samples from 103 cases of coccidioidomycosis and 373 controls patients, and permits highly reproducible semiquantification. from 103 cases"
"Coccidioides_seeberia_28081876:Coccidioides seeberia
",none,. therapy could influence the clinical signs of pulmonary coccidioidomycosis. therapy
"Coccidioides_seeberia_2836878:Coccidioides seeberia
",none,"paper thereafter paper describes This paper paper describes the gross and microscopic pathology of the numerous complications in patients patients more than 50,000 patients describes This paper describes produced a sudden unexpected deluge of diagnostic dilemmas that are stressing laboratories of pathology everywhere. This paper more describes the gross and microscopic pathology of the numerous complications in patients This paper describes the gross and microscopic pathology of the numerous complications in patients paper describes the gross and microscopic pathology of the numerous complications in patients infected by HIV paper describes the gross and microscopic pathology of the numerous paper describes the gross and microscopic pathology of the numerous complications in patients infected have produced a sudden unexpected deluge of diagnostic dilemmas that are stressing laboratories of pathology everywhere. This paper paper describes the gross and microscopic pathology of the numerous complications This sudden unexpected deluge of diagnostic dilemmas that are stressing laboratories of pathology everywhere. This paper"
"Coccidioides_seeberia_28797489:Coccidioides seeberia
",none,disease patients of disease of infected patients HIV-infected patients -infected patients patients frequently depend on the degree of immunosuppression and the CD4+ helper T cell count in HIV-infected patients patients frequently depend on the degree of immunosuppression and the CD4+ helper T cell infection in HIV-infected patients patients frequently depend on the degree of immunosuppression and the CD4+ helper T Clinical manifestations of fungal infection in HIV-infected patients infected patients with human immunodeficiency virus (HIV) infection HIV-infected HIV -infected patients with human immunodeficiency virus (HIV infected patients frequently depend on the degree of immunosuppression and the CD4+ helper T cell count
"Coccidioides_seeberia_28811115:Coccidioides seeberia
",男,male healthy male 44-year-old healthy male We present a 44-year-old healthy male year-old healthy male -year-old healthy male a 44-year-old healthy male present a 44-year-old healthy male old healthy male -old healthy male healthy 44-year-old healthy 44 patient 44-year We present a 44-year-old healthy 44-year-old 44- We present a 44 44-year-
"Coccidioides_seeberia_29553315:Coccidioides seeberia
",none,"whom whom antimicrobial drug therapy conducted a cohort study to identify conducted a cohort study We conducted a cohort study to identify identify We conducted a cohort study study to identify study conducted conducted a cohort study to identify characteristics We conducted conducted a cohort study to identify characteristics associated with testing for, and testing positive for, coccidioidomycosis among patients We cohort study to identify a cohort study to identify cohort study conducted a a cohort study We conducted a cohort study to identify characteristics"
"Coccidioides_seeberia_29772139:Coccidioides seeberia
",none,. We present We We present a We present a case of acute pneumonia due to C. immitis in a non-endemic region present We present a case present a present a case of acute pneumonia due to C. immitis in a non-endemic region present a case a a case of acute pneumonia due to C. immitis in a non-endemic region case of acute pneumonia due to C. immitis in a non-endemic region a case case We present a case of acute pneumonia due to C. immitis in a non-endemic region thatwas region We present a case of acute pneumonia We present a case of We present a case of acute
"Coccidioides_seeberia_29790449:Coccidioides seeberia
",none,"we records from the California Animal Health and Food Safety Laboratory, we we found 79 cases records we found cases records from the California Animal Health and Food Safety Laboratory, we found 79 records from the California Animal Health and Food Safety Laboratory, we found 79 cases 79 cases records from the California Animal Health and Food Safety Laboratory, we found 362 (18%) camelid cases records from the California Animal Health and Food Safety Laboratory, we found 79 79 , we 362 found 79 cases found found 79 llamas"
"Coccidioides_seeberia_2986505:Coccidioides seeberia
",none,patients 171 patients done on 171 patients on 171 patients 171 276 fiberoptic bronchoscopic examinations done on 171 patients examinations done on 171 patients patients with in 276 fiberoptic bronchoscopic examinations done on 171 patients determined in 276 fiberoptic bronchoscopic examinations done on 171 patients . patients with known done on 171 was determined in 276 fiberoptic bronchoscopic examinations done on 171 patients fiberoptic bronchoscopic examinations done on 171 patients patients with known or on 171 276 fiberoptic bronchoscopic examinations done on 171 171 patients with examinations done on 171
"Coccidioides_seeberia_29912691:Coccidioides seeberia
",none,"retrospective patients retrospective study patients traveling to or residing retrospective study substantially increases This retrospective We describe the epidemiology of 1,392 We describe the epidemiology of 1,392 microbiology laboratory-confirmed cases We patients traveling to or study increased patients traveling to or residing in Ontario increased from 1995 increased from 1,392 1,392 microbiology laboratory-confirmed cases retrospective study substantially province. This retrospective cases"
"Coccidioides_seeberia_30061139:Coccidioides seeberia
",男,"man 25-year-old man year-old man old man patient, a 25-year-old man -year-old man -old man , a 25-year-old man a 25-year-old man our patient, a 25-year-old man man admitted with a 2- man admitted with a 2 in our patient, a 25-year-old man He . He 25 He was He was found He was found to 25-year"
"Coccidioides_seeberia_30230974:Coccidioides seeberia
",男,"individual affected individual article describes a case of Coccidioidomycosis pneumonia in an individual describes a case of Coccidioidomycosis pneumonia in an individual individual, who resided in a nonendemic state, traveled to Kern County to operate heavy equipment and also perform some laborer tasks. He operator.ABSTRACT:This article describes a case of Coccidioidomycosis pneumonia in an individual an individual individual who This article describes a case of Coccidioidomycosis pneumonia in an individual individual who worked in the McKittrick Oil Field, Kern County, California, for 15 days during an approximate 1-month period in 2016 equipment operator.ABSTRACT:This article describes a case of Coccidioidomycosis pneumonia in an individual The affected individual a case of Coccidioidomycosis pneumonia in an individual in an individual article case of Coccidioidomycosis pneumonia in an individual individual, who individual, individual who worked in the McKittrick Oil Field individual, who resided"
"Coccidioides_seeberia_30290191:Coccidioides seeberia
",男,"man other was a 61-year-old man 61-year-old man patients had Coccidioides immitis cultured from respiratory samples. One was a 69-year-old man Both patients had Coccidioides immitis cultured from respiratory samples. One was a 69-year-old man was a 61-year-old man The other was a 61-year-old man a 61-year-old man man treated with fluconazole and then amphotericin for 3 weeks, with progression to acute respiratory distress syndrome and shock. Both -year-old man One was a 69-year-old man was a 69-year-old man 69-year-old man patients RESULTS: Both patients had Coccidioides immitis cultured from respiratory samples. One was a 69-year-old man : Both patients had Coccidioides immitis cultured from respiratory samples. One was a 69-year-old man 2 patients Both patients Both 2"
"Coccidioides_seeberia_30462288:Coccidioides seeberia
",none,patients patients (N = 1160 that patients (N = 116 that the sensitivity varies by specimen source and clinical setting. 113 1160) 113 specimens patients (N = 1160) patients (N = 1160) who underwent Coccidioides PCR (Cocci PCR) on clinical samples between March . sensitivity varies by specimen source and clinical setting. 1160 that the sensitivity disease but that that the sensitivity varies by specimen source disease but that the sensitivity varies by specimen source and clinical setting. patients (N conducted a retrospective chart review of patients review of patients
"Coccidioides_seeberia_30462798:Coccidioides seeberia
",男,"male male farmers describes three cases of coccidioidomycosis on male present report describes three cases of coccidioidomycosis on male report describes three cases of coccidioidomycosis on male three cases of coccidioidomycosis on male on male male farmers from cases of coccidioidomycosis on male The present report describes three cases of coccidioidomycosis on male male farmers from Serra male farmers from Serra Talhada county male farmers from Serra Talhada county, Pernambuco State, male farmers from Serra Talhada county, Pernambuco State, who reports mainly from desert regions of Northeastern Brazil. The present report describes three cases of coccidioidomycosis on male farmers describes three cases of coccidioidomycosis on male farmers present report describes three cases of coccidioidomycosis on male farmers report describes three cases of coccidioidomycosis on male farmers three cases of coccidioidomycosis on male farmers"
"Coccidioides_seeberia_30652667:Coccidioides seeberia
",男,Man West African Man African Man West African African West
"Coccidioides_seeberia_30690602:Coccidioides seeberia
",none,"Coccidioides infection, Mendelian susceptibility to disseminated disease and progress toward a human vaccine against this formidable disease. . Coccidioides Coccidioides infection, infection, Mendelian susceptibility to disseminated disease and progress toward a human vaccine against this formidable disease. infection infection, Mendelian susceptibility to disseminated disease and progress toward a human vaccine against this formidable disease increased increased cost of long-term antifungal treatment review review discusses review discusses recently discusses discusses recently infection. Escalation of symptomatic infections and increased treatment clinic recently knowledge clinic management of this disease"
"Coccidioides_seeberia_31284663:Coccidioides seeberia
",none,"intractable intractable pain, pain patients our institution medical records at our institution review of medical records at our institution medical records records at our institution review of medical records retrospective review of medical records at our institution institution review medical A retrospective review of medical records at our institution records patients typically present as community-acquired pneumonia. Uncommonly, in about 1% of infections our review of medical medical records at our"
"Coccidioides_seeberia_31423835:Coccidioides seeberia
",none,"patient single-patient patient case report patient case report documents This single-patient single single-patient case report patient case patient case report documents the single-patient case report documents -patient This single and report This single-patient case report patient case report documents the presentation, diagnosis, management, and outcome single-patient case report documents This single-patient case report documents single-patient case report documents the"
"Coccidioides_seeberia_31578560:Coccidioides seeberia
",none,"patients 172 patients 172 study period, 172 patients , 172 patients period, 172 patients our institution between January 1, 2015, and August 31, 2017. During the study period, 172 patients patients had a CST placed, and 122 During the study period, 172 patients study period, 172 the study period, 172 patients patients had a CST placed, and 172 patients had a CST placed, and 122 79 treated patients 172 patients had a CST placed, and , 172 period, 172 our institution between January 1, 2015, and August 31, 2017. During the study period, 172 79 study"
"Coccidioides_seeberia_320285:Coccidioides seeberia
",none,older older children and young-adults older children situations older children and young- certain situations older children and older children and young those Among older children and young-adults adults children situations. certain be life-saving in certain situations life-saving in certain situations certain situations. -adults children and young-
"Coccidioides_seeberia_32053327:Coccidioides seeberia
",none,"patients patients stabilize and symptoms resolve. In patients patients who are treated with antifungals, complement fixation titers should be followed for at least two years. areas areas, and it has been identified as the cause of as many as 17% to 29% of all cases of community-acquired pneumonia in some regions regions regions. Obtaining a travel history is recommended when evaluating patients patients stabilize and symptoms patient symptoms resolve. In patients patients who are some regions increasing in endemic areas some regions. Obtaining a travel history is recommended when evaluating patients patients who cases of community-acquired pneumonia in some regions patients stabilize and symptoms resolve. In patients who are . symptoms resolve. In patients who are treated with antifungals, complement fixation titers should be followed for at least two years. cases of community-acquired pneumonia in some regions. Obtaining a travel history is recommended when evaluating patients"
"Coccidioides_seeberia_32176829:Coccidioides seeberia
",none,"these cases. RESULTS: Over the study period, fifteen these cases. RESULTS: Over the study period, fifteen evaluable cases fifteen fifteen evaluable cases these fifteen evaluable cases of culture-proven acute coccidioidomycosis were identified. Of these, 87 cases these cases these, 87 fifteen evaluable cases of culture-proven acute coccidioidomycosis were identified. Of these, 87% (13/15 15 cases of culture-proven acute coccidioidomycosis were identified. Of these, 87 these, 87% (13/15 cases of culture-proven acute coccidioidomycosis were identified. Of these, 87% (13/15 fifteen evaluable cases of culture-proven acute coccidioidomycosis were identified. Of these cases. RESULTS: Over the study period, fifteen identified. Of these, 87 cases. RESULTS: Over the study period, fifteen evaluable cases cases of culture-proven acute coccidioidomycosis were identified. Of these these cases. RESULTS: Over"
"Coccidioides_seeberia_32277825:Coccidioides seeberia
",none,"controls from patients with coccidioidomycosis and controls patients with coccidioidomycosis and controls samples from patients with coccidioidomycosis and controls and controls Serum samples from patients with coccidioidomycosis and controls from patients patients Meridian from samples from patients with coccidioidomycosis and controls samples samples from from patients with coccidioidomycosis and Meridian. The MVista Coccidioides antibody EIA offers improved sensitivity, including among high-risk patient patients with coccidioidomycosis and controls were improved accuracy for the diagnosis of coccidioidomycosis. Serum samples from patients with coccidioidomycosis and controls controls were tested"
"Coccidioides_seeberia_32354764:Coccidioides seeberia
",none,haematological haematological malignancy haematological malignancy on immunomodulatory therapy. haematological malignancy on malignancy malignancy on immunomodulatory therapy. on immunomodulatory therapy malignancy on on therapy We report We describe This report We describe a case We describe a describe This report illustrate describe a case
"Coccidioides_seeberia_32593044:Coccidioides seeberia
",男,"males patients, predominantly males 11 patients, predominantly males predominantly males patients Mexican neurological referral center. RESULTS: The clinical records of 11 patients, predominantly males cases at a Mexican neurological referral center. RESULTS: The clinical records of 11 patients, predominantly males , predominantly males males, were retrieved clinical records of 11 patients, predominantly males referral center. RESULTS: The clinical records of 11 patients, predominantly males records of 11 patients, predominantly males center. RESULTS: The clinical records of 11 patients, predominantly males referral center. RESULTS: The clinical records of 11 patients, predominantly males, a Mexican neurological referral center. RESULTS: The clinical records of 11 patients, predominantly males neurological referral center. RESULTS: The clinical records of 11 patients, predominantly males, at a Mexican neurological referral center. RESULTS: The clinical records of 11 patients, predominantly males 11 patients patients, predominantly 11"
"Coccidioides_seeberia_32629490:Coccidioides seeberia
",none,"we we discuss review, we this review, we , we goods, and a changing epidemiology as a result of global heating and anthropomorphic land utilization. In this review, we . In this review, we review, we discuss In this review, we review this review, we discuss this review discuss areas this review, , we discuss this review, goods goods, and a changing epidemiology as a result of global heating and anthropomorphic land utilization. In this review"
"Coccidioides_seeberia_33111910:Coccidioides seeberia
",男,"males patients were included. The patients were males patients were males Thirty patients were included. The patients were males were males The patients were males included. The patients were males adult males young adult males males with median age of 30 patients were included. The patients were males males living in rural areas males living males with median age of 30 years, and males with median age among young adult males males with higher among young adult males males with median age of 30 years, and 73%"
"Coccidioides_seeberia_33167717:Coccidioides seeberia
",女,"female 48-year-old Hispanic female we present the case of a 48-year-old Hispanic female a 48-year-old Hispanic female Hispanic female present the case of a 48-year-old Hispanic female old Hispanic female year-old Hispanic female report, we present the case of a 48-year-old Hispanic female this case report, we present the case of a 48-year-old Hispanic female -year-old Hispanic female case of a 48-year-old Hispanic female -old Hispanic female female who the case of a 48-year-old Hispanic female , we present the case of a 48-year-old Hispanic female case report, we present the case of a 48-year-old Hispanic female of a 48-year-old Hispanic female 48 we present the case of a 48"
"Coccidioides_seeberia_33178544:Coccidioides seeberia
",男,"male 23-year-old African American male healthy 23-year-old African American male previously healthy 23-year-old African American male male, African American male We present the case of a previously healthy 23-year-old African American male American male year-old African American male old African American male -year-old African American male case of a previously healthy 23-year-old African American male -old African American male present the case of a previously healthy 23-year-old African American male male, presented with a four-month history a previously healthy 23-year-old African American male male, presented the case of a previously healthy 23-year-old African American male of a previously healthy 23-year-old African American male 23"
"Coccidioides_seeberia_33238746:Coccidioides seeberia
",女,"male 29-year-old Hispanic male We present the case of a 29-year-old Hispanic male Hispanic male a 29-year-old Hispanic male present the case of a 29-year-old Hispanic male year-old Hispanic male old Hispanic male -year-old Hispanic male male who case of a 29-year-old Hispanic male the case of a 29-year-old Hispanic male -old Hispanic male of a 29-year-old Hispanic male women, and can involve bones, joints, meninges, and skin. We present the case of a 29-year-old Hispanic male 29 We present the case of a 29 29-year-old 29-year a 29"
"Coccidioides_seeberia_33241083:Coccidioides seeberia
",none,"persons persons of all ages persons of all ages including infants and children. The majority of cases persons of affect persons persons of all ages including infants and children. The majority of cases are asymptomatic and the incidence of infection persons of all ages including infants and children western United States, Central America, and South America. The infection is acquired by inhalation. It can affect persons persons of all ages including persons of all ages including infants ages cases cases are asymptomatic and the incidence of infection is greater during a dry summer season after heavy heavy ages including infants and children. The majority of cases ages including infants and children. The majority of cases are asymptomatic and the incidence of infection is greater during a dry summer season after heavy of all ages affect persons of all ages cases are asymptomatic and the incidence of infection of all ages including infants and children. The majority of cases"
"Coccidioides_seeberia_33270616:Coccidioides seeberia
",男,"males males (10.2) and Black persons (9.0) consistently across all regions; however, incidence varied among Hispanics and adults males (10.2) and Black persons males (10.2) and adults age and 59% of cases for race/ethnicity, median annual incidence was high among males cases for race/ethnicity, median annual incidence was high among males males (10.2) and Black persons (9.0) consistently across all regions; however, incidence varied among Hispanics and adults aged high among males males (10.2) and Black males (10.2) and Black persons (9.0) consistently across all regions among males cases for sex and age and 59% of cases for race/ethnicity, median annual incidence was high among males >99% of cases for sex and age and 59% of cases for race/ethnicity, median annual incidence was high among males persons (9.0) consistently across all regions; however, incidence varied among Hispanics and adults persons analysis this analysis results of this analysis and Black persons (9.0) consistently across all regions; however, incidence varied among Hispanics and adults"
"Coccidioides_seeberia_33399041:Coccidioides seeberia
",女,"woman Woman pregnant woman a pregnant woman in a pregnant woman woman with infected bilateral periorbital nodules, intense pain at paranasal sinuses, and several osteolytic skull lesions. The Pregnant Woman Pregnant Woman.ABSTRACT:Coccidioidomycosis a Pregnant Woman pregnant a pregnant in a pregnant a analysis of 54 cases available in the literature makes us us analysis 54 cases available in the literature makes us cases available in the literature makes us analysis of 54 cases available in the literature makes us suggest that the area us suggest that the area"
"Coccidioides_seeberia_33418569:Coccidioides seeberia
",男,"men 1770 1770 patients these 49, 28 (57%) were men 49, 28 (57%) were men , 28 (57%) were men patients 28 (57%) were men Among 1770 were men patients at our institution Of these 49, 28 (57%) were men 1770 patients who received tumor necrosis factor alpha inhibitors, 49 57%) were men men, 1770 patients who received tumor necrosis factor alpha inhibitors, 49 (2 patients at our We retrospectively reviewed the electronic health records of patients %) were men ) had proven or probable coccidioidomycosis. Of these 49, 28 (57%) were men"
"Coccidioides_seeberia_33484179:Coccidioides seeberia
",none,"71 patients (four clinical and six laboratory-confirmed), two were hospitalized. In the case-control analysis of 71 patients analysis of 71 71 inmate firefighters 10 case-patients (four clinical and six laboratory-confirmed), two were hospitalized. In the case-control analysis of 71 10 case-patients 71 inmate case-patients (four clinical and six laboratory-confirmed), two were hospitalized. In the case-control analysis of 71 case-patients 71 in patients (four clinical and six laboratory-confirmed), two were hospitalized. In the case-control analysis of 71 inmate firefighters analysis of 71 inmate firefighters patients (four clinical and six laboratory-confirmed), two were hospitalized. In the case-control analysis firefighters 198 10 case-patients (four clinical and six laboratory-confirmed), two were hospitalized. In the case-control analysis of 71 inmate firefighters analysis inmate firefighters patients (four clinical and six laboratory-confirmed), two were hospitalized. In the case-control analysis of 71 inmate"
"Coccidioides_seeberia_33576325:Coccidioides seeberia
",男,"man old man man presented with old specimen studies specimen. Comparing with previous reported studies reported studies studies, LCM combined with nucleic acid amplification techniques improve specimen. Comparing with previous reported studies, LCM combined with nucleic acid amplification techniques improve reported studies, LCM combined with nucleic acid amplification techniques improve with previous reported studies specimen. Comparing with previous reported reported Comparing with previous reported studies, specimen. Comparing improve specimen. Comparing with studies, LCM combined with nucleic acid amplification techniques LCM combined with nucleic acid amplification techniques improve"
"Coccidioides_seeberia_33583365:Coccidioides seeberia
",男,male male llama 3-mo-old male mo-old male male ll male llama was examined male llama was examined because old male -mo-old male -old male A 3-mo-old male male llama was male llama was examined because of a 4-wk history male llama was examined because of a 4-wk history of lethargy and ill thrift. Missouri.ABSTRACT:A 3-mo-old male :A 3-mo-old male llama in a llama 3-mo-old male llama mo-old male llama
"Coccidioides_seeberia_33724424:Coccidioides seeberia
",none,"patients patients did not receive antifungal treatment. Among the 271 patients 271 patients, patients, cavities closed in 38 (14.0%). Statistical modeling showed that cavities were more likely to close in patients patients did not receive antifungal treatment. Among the 271 the 271 patients 50 patients did not receive antifungal treatment. Among the 271 patients 271 patients 313 patients patients, 221 50 patients identified 313 patients patients did not receive antifungal treatment. Among the 27 we retrospectively identified 313 patients 42 who had the cavity removed surgically, leaving 271 data sets available for study. Of the 271 patients Among the 271 patients patients did not receive antifungal treatment. Among the patients with cavitary coccidioidomycosis and excluded 42 271 excluded 42 who had the cavity removed surgically, leaving 271 data sets available for study. Of the 271 patients"
"Coccidioides_seeberia_33755007:Coccidioides seeberia
",none,"persons incarcerated persons incarcerated construction and agricultural workers, incarcerated persons , incarcerated persons We examine risk for co-infection among construction and agricultural workers, incarcerated persons persons, Black and Latino populations risk for co-infection among construction and agricultural workers, incarcerated persons incarcerated persons, Black and Latino populations examine risk for co-infection among construction and agricultural workers, incarcerated persons agricultural workers, incarcerated persons persons, workers, incarcerated persons incarcerated persons, construction and agricultural workers, incarcerated , incarcerated We examine risk for co-infection among construction and agricultural workers, incarcerated persons, Black and Latino populations, incarcerated persons, Black and Latino populations, risk for co-infection among construction and agricultural workers, incarcerated"
"Coccidioides_seeberia_33925759:Coccidioides seeberia
",none,"patient two cases of Coccidioides in allo-HCT recipients with good outcomes: one patient We present two cases of Coccidioides in allo-HCT recipients with good outcomes: one patient two Candidates our experience experience one patient persons recipients with good outcomes: one patient patient who developed pulmonary coccidioidomycosis in the late post-engraftment phase and another present two cases of Coccidioides in allo-HCT recipients with good outcomes: one patient our We present two these patients have rarely been documented. We present two cases of Coccidioides in allo-HCT recipients with good outcomes: one patient Candidates for transplantation should undergo a rigorous pre-transplant assessment to identify evidence of prior or active coccidioidomycosis. In our patients have rarely been documented. We present two cases of Coccidioides in allo-HCT recipients with good outcomes: one patient cases of Coccidioides in allo-HCT recipients with good outcomes: one patient Candidates for transplantation should undergo a rigorous pre-transplant assessment to identify evidence of prior or active coccidioidomycosis. In our experience, transplantation should undergo a rigorous pre-transplant assessment to identify evidence of prior or active coccidioidomycosis. In our experience"
"Coccidioides_seeberia_33933122:Coccidioides seeberia
",女,female 16-year-old female We present a case of disseminated coccidioidomycosis in a 16-year-old female year-old female old female -year-old female a 16-year-old female present a case of disseminated coccidioidomycosis in a 16-year-old female a case of disseminated coccidioidomycosis in a 16-year-old female -old female case of disseminated coccidioidomycosis in a 16-year-old female in a 16-year-old female female with polyarticular juvenile idiopathic arthritis (JIA 16 patient 16-year-old 16-year We present a case of disseminated coccidioidomycosis in a 16 16- 16-year-
"Coccidioides_seeberia_33953995:Coccidioides seeberia
",none,patient patient was a recently diagnosed HIV positive patient patient was a recently diagnosed HIV positive patient was a recently patient was a We patient was positive patient The patient We present a case of disseminated coccidioidomycosis in a patient recently diagnosed HIV positive patient We present was a recently diagnosed HIV positive patient The patient was a recently diagnosed HIV positive patient We present a a recently diagnosed HIV positive patient We present a case We present a case of disseminated coccidioidomycosis in a diagnosed HIV positive patient HIV positive patient
"Coccidioides_seeberia_34016286:Coccidioides seeberia
",none,"This review review cases This review summarizes the epidemiology, clinical manifestations, and treatment options. review summarizes the epidemiology, clinical manifestations, and treatment options. This summarizes the epidemiology, clinical manifestations, and treatment options. This review summarizes review summarizes all nondisseminated cases . This review This review sum review sum Not all nondisseminated cases summarizes . . Not all nondisseminated cases . This review summarizes the epidemiology, clinical manifestations, and treatment options. . This sum"
"Coccidioides_seeberia_34036653:Coccidioides seeberia
",none,. thereafter cause disease with ensuing host morbidity and mortality. We We review physician. We treating physician. We We review the unmet needs of recently published guidelines We review the unmet needs of recently published guidelines and outline future areas of research We review the unmet needs of recently published guidelines and outline future areas of research. The We review the unmet needs of recently published guidelines and outline . We physician A general understanding of common presenting manifestions and their lingering effects is of paramount importance to the treating physician. We treating physician to the treating physician. We physician. treating physician. physician. We review review treating physician. We review
"Coccidioides_seeberia_34065016:Coccidioides seeberia
",none,This review review This This review focuses on review focuses on This review focuses This review focuses on the known review focuses review focuses on the known on focuses on important areas of uncertainty and potential approaches to address them. Closing these gaps in knowledge may enable enable three important areas of uncertainty and potential approaches to address them. Closing these gaps in knowledge may enable focuses on the known Closing these gaps in knowledge may enable on the known innate and adaptive immune responses to Coccidioides and highlights three important areas of uncertainty and potential approaches to address them. Closing focuses on the known focuses on the known innate and adaptive immune responses to Coccidioides and highlights three important areas of uncertainty and potential approaches to address them. Closing
"Coccidioides_seeberia_34068825:Coccidioides seeberia
",none,important in patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We present a review We present a review important in patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We We important in patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We present We present important review important in patients patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We present a review present a review particularly important in patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We present a review important in patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We present a We present a patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We present present We present a review diagnostic testing for pulmonary infections due to endemic mycoses. particularly important in patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We particularly important in patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We present
"Coccidioides_seeberia_34150403:Coccidioides seeberia
",none,patients 48 This case highlights the importance of avoiding anchoring bias when creating differential diagnoses and triaging patients case highlights the importance of avoiding anchoring bias when creating differential diagnoses and triaging patients This case case importance of avoiding anchoring bias when creating differential diagnoses and triaging patients highlights the importance of avoiding anchoring bias when creating differential diagnoses and triaging patients the importance of avoiding anchoring bias when creating differential diagnoses and triaging patients patients. This a 48 48-year This case highlights We present a case of a 48 case highlights 48- This case highlights the importance 48-year- case highlights the importance
"Coccidioides_seeberia_34159219:Coccidioides seeberia
",none,"host aorta in an immunocompromised host an immunocompromised host a We We report We report the first case We report the first We report the We report the first case, report first case first . We first case, We report the first case, to our knowledge, report the first case report the first report the We report the first case, to our"
"Coccidioides_seeberia_34258312:Coccidioides seeberia
",none,"2020 patient In 2020 2020, clinicians We present a patient 2020, clinic 2020, present a patient a patient We present We present a We present patient with present a patient with respiratory . a patients We present a patient with"
"Coccidioides_seeberia_34311612:Coccidioides seeberia
",none,"patients patients will develop mild and self-limited respiratory infection, and a small fraction of these individuals percent of patients of patients individuals these individuals patients will develop mild and self-limited respiratory infection, and a small fraction of these patients will develop mild and self-limited respiratory infection, and a small fraction of these individuals will develop extrapulmonary disseminated disease. Forty percent of patients percent of patients will develop mild and self-limited respiratory infection, and a small fraction of these individuals patients will of patients will develop mild and self-limited respiratory infection, and a small fraction of these individuals patients will develop patients will develop mild and self-limited respiratory infection, and a small Forty percent of patients will develop mild and self-limited respiratory infection, and a small fraction of these individuals small fraction of these individuals will develop mild and self-limited respiratory infection, and a small fraction of these individuals patient develop mild and self-limited respiratory infection, and a small fraction of these individuals these"
"Coccidioides_seeberia_34377692:Coccidioides seeberia
",none,75 75- patient - We present the case of a 75 We present the case of a 75- a 75 a 75- patient was successfully treated with a combination of antifungal and antibacterial therapy. patient was successfully treated with a combination of antifungal and antibacterial therapy. This is the first reported case case of a 75 case of a 75- We patient was successfully treated with a combination of antifungal and antibacterial therapy. This is the first reported present the case of a 75 present the case of a 75- The patient We present the case of a the case of a 75 the case of a 75-
"Coccidioides_seeberia_34407679:Coccidioides seeberia
",男,"man 33-year-old man we present a case of a 33-year-old man year-old man present a case of a 33-year-old man -year-old man a case of a 33-year-old man article, we present a case of a 33-year-old man old man man who -old man case of a 33-year-old man this article, we present a case of a 33-year-old man a 33-year-old man , we present a case of a 33-year-old man man who presented with chest wall swelling and eventually diagnosed with chest wall abscesses due to disseminated coccidioidomycosis. of a 33-year-old man 33 33-year we present a case of a 33"
"Coccidioides_seeberia_34463704:Coccidioides seeberia
",none,"recipients 493 lung transplant recipients 493 recipients were included lung transplant recipients of 493 lung transplant recipients 493 lung transplant recipients were included, 493 lung total of 493 lung transplant recipients 62 of 493 transplant recipients included recipients were 493 lung transplant recipients were included regions total of 493 49 Mean age at transplant was 62 lung transplant recipients were included"
"Coccidioides_seeberia_34522611:Coccidioides seeberia
",男,male immunocompetent male We present an atypical case of disseminated coccidioidomycosis in an immunocompetent male an immunocompetent male present an atypical case of disseminated coccidioidomycosis in an immunocompetent male in an immunocompetent male an atypical case of disseminated coccidioidomycosis in an immunocompetent male male manifesting as peritoneal disease diagnosed during elective inguinal herniorrhaphy. older male male manifesting as peritoneal disease diagnosed during elective inguinal herniorrhaphy . We present an atypical case of disseminated coccidioidomycosis in an immunocompetent male case of disseminated coccidioidomycosis in an immunocompetent male atypical case of disseminated coccidioidomycosis in an immunocompetent male An older male immunocompetent We present an atypical case of disseminated coccidioidomycosis in an immunocompetent We We present an immunocompetent We present an atypical case of disseminated coccidioidomycosis in an
"Coccidioides_seeberia_34712863:Coccidioides seeberia
",none,"individuals 18 individuals aged 18 18 years or older 72 individuals aged 18 years or older trial was halted early due to slow enrollment (72 in individuals trial eight 18 years or older with CAP who met all eligibility criteria in Coccidioides endemic regions in the US. Eligible participants 72 participants in one year, 33 received fluconazole and 39 received placebo). Of those enrolled, eight individuals aged 18 years or older with CAP who met all eligibility criteria in Coccidioides endemic regions in the US. Eligible participants 72 participants in individuals aged 18 trial was halted early due to slow enrollment (72 participants individuals aged aged 18 18 years older"
