,immu,immu_origin
"Cryptococcus_neoformans_31401574:Cryptococcus neoformans
",none,"diabetic diabetic patient di diabetic patient, patient 59-year-old diabetic 59-year-old diabetic patient diabe diabetic patient, with old diabetic old diabetic patient diabetic patient, with no 59-year-old di a 59-year-old diabetic a 59-year-old diabetic patient diabetic patient, with no other risk factors year-old diabetic year-old diabetic patient -year-old diabetic -year-old diabetic patient"
"Cryptococcus_neoformans_31451456:Cryptococcus neoformans
",none,"systemic systemic lupus erythematosus systemic lupus erythematosus, interstitial lung disease and glaucoma systemic lupus systemic lupus erythematosus, interstitial lung disease and g systemic lupus erythematosus, interstitial lung disease systemic lupus erythematosus, patient with a history of systemic patient with a history of systemic lupus erythematosus lupus erythematosus patient a history of systemic systemic lupus erythematosus.ABSTRACT:We report a case of primary pulmonary cryptococcosis in a 59 a history of systemic lupus erythematosus 59-year-old female patient with a history of systemic of systemic female patient with a history of systemic erythematosus, glaucoma history of systemic"
"Cryptococcus_neoformans_31537469:Cryptococcus neoformans
",抑制,"immunosuppressed immunosuppressed patient immunosuppressed patient. CASE REPORT: We report a case of pulmonary cryptococcosis in a non im immunosuppressed patient. CASE REPORT: We report a case of pulmonary cryptococcosis in a non-diagnosed HIV HIV patient immunosuppression non-diagnosed HIV non-diagnosed HIV patient immunosuppressed patient. CASE REPORT: We report a case of pulmonary cryptococcosis in a non- immunosuppress non less than 100cells/mm3, other forms of immunosuppression HIV infection diagnosed HIV HIV patient. In a 44 year-old male diagnosed HIV patient non-diagnosed patient"
"Cryptococcus_neoformans_31580849:Cryptococcus neoformans
",抑制,uncontrolled uncontrolled diabetes mellitus Nepali patient with uncontrolled uncontrolled diabetes Nepali patient Nepali patient with uncontrolled diabetes mellitus diabetes mellitus uncontrolled diabetes mellitus type 2 with uncontrolled Nepali patient with uncontrolled un Nepali patient with uncontrolled diabetes diabetes patient with uncontrolled diabetes mellitus uncontrolled diabetes mellitus type patient with uncontrolled diabetes mellitus Nepali patient with Nepali patient with uncontrolled diabetes mellitus type 2
"Cryptococcus_neoformans_31676212:Cryptococcus neoformans
",抑制,"HIV-infected HIV-infected patient HIV infected AIDS infected patient AIDS patients patient HIV- -infected -infected patient AIDS patients is a common event mainly caused by inflammation or infection. Despite the high prevalence rate of cryptococcosis in these individuals HIV-infected patient with disseminated cryptococcal infection: A case report and literature review. Brazilian patients a HIV-infected AIDS patients has been occasionally proved among the cases already reported. Thus, the post mortem exam is still pivotal AIDS patients has been occasionally proved among the cases already reported. AIDS patients has been occasionally proved among the cases already reported. Thus, the post mortem exam is still pivotal to AIDS patients is a common event mainly caused by inflammation or infection. Despite the high prevalence rate of cryptococcosis in these"
"Cryptococcus_neoformans_31741419:Cryptococcus neoformans
",抑制,immunocompromised immunosuppressant medications. The rest of the patients were apparently immuno-competent immunocompromised patients immuno-competent immunosuppressant immunosuppress im immunosuppressant medications apparently immuno-competent immunosuppressant medications. The rest of the patients were apparently immunosuppressant medications. The rest of the patients were apparently im low CD4 count and five were receiving immunosuppressant medications. The rest of the patients were apparently immuno-competent Immunodeficiency Virus (HIV) infection with low CD4 count and five were receiving immunosuppressant HIV) infection with low CD4 count and five were receiving immunosuppressant competent receiving immunosuppressant medications. The rest of the patients were apparently immuno-competent Human Immunodeficiency Virus (HIV) infection with low CD4 count and five were receiving immunosuppressant immunosuppressant medications. The rest of the patients were apparently immuno- low CD4 count and five were receiving immunosuppressant medications. The rest of the patients were apparently immuno-competent
"Cryptococcus_neoformans_31758642:Cryptococcus neoformans
",抑制,mellitus . type 2 diabetes mellitus mellitus. patients. CONCLUSIONS: Invasive fungal disease is a life-threatening complication in type 2 diabetes mellitus patients patients 2 diabetes mellitus with type 2 diabetes mellitus anemia and hypoalbuminemia might improve prognosis. 120 patients with type 2 diabetes mellitus RESULTS: Invasive fungal disease was diagnosed in 120 patients with type 2 diabetes mellitus mellitus patients. CONCLUSIONS: Invasive fungal disease is a life-threatening complication in type 2 diabetes mellitus patients. diabetes mellitus mellitus patients. anemia hypoalbuminemia might improve prognosis. type 2 diabetes mellitus patients patients. CONCLUSIONS: Invasive fungal disease is a life-threatening complication in type 2 diabetes mellitus anemia and hypoalbuminemia patients with type 2 diabetes mellitus
"Cryptococcus_neoformans_31799309:Cryptococcus neoformans
",抑制,"immunocompetent immunocompetent hosts im immunocompet compromised immunocom immunocompetent hosts. polymicrobial co-infections should be taken into consideration when metastatic infection is present. immuno immu compromised immunity compromised immunity or weakened by other infections, but recent emergence of hypervirulent strains has increased infections even in healthy immunocompetent hosts is rare but fatal. So immunocompetent hosts is rare but fatal. So, it is necessary to determine immunocompetent hosts is rare but fatal. So, it is necessary immunocompetent hosts is rare but fatal. cerebral hernia. CONCLUSION: HvKP has emerged as a cause of metastatic infections in immunocompetent immunocompetent hosts. compromised immunity or compromised immunity or weakened by other infections, but recent emergence of hypervirulent strains has increased infections even in healthy individuals immunity"
"Cryptococcus_neoformans_31830905:Cryptococcus neoformans
",抑制,HIV-infected AIDS HIV-infected patient immunodeficient HIV immunodeficient patients. Physicians should have a heightened awareness of this particular infection in the immunodeficient AIDS patient immunodeficient patients infected infected patient HIV- im immunodeficient patients. Physicians should have a heightened awareness of this particular infection in the im male HIV-infected patient immunodeficient patients. Physicians should have a heightened awareness of this particular infection in the immunodeficient population -infected immunodeficient population male HIV-infected patient -infected patient
"Cryptococcus_neoformans_32089092:Cryptococcus neoformans
",抑制,HIV HIV hospital living with HIV with HIV HIV hospitalized HIV hospitalized due to a community-acquired pneumonia episode HIV hospitalized due people living with HIV hospital HIV hospitalized due to HIV hospitalized due to a community-acquired pneumonia episode? living with HIV hospital with HIV hospital living with with living we perform the serum cryptococcal antigen test in people living with HIV hospitalized living with HIV hospitalized with HIV hospitalized
"Cryptococcus_neoformans_32190544:Cryptococcus neoformans
",none,immunocompetent immunocompetent patient im healthy healthy patient patient immunocompetent patient.ABSTRACT:Cryptococcosis immunocompet immuno immunocom immu a healthy an immunocompetent solid organ transplant recipients a healthy patient organ transplant recipients solid organ transplant recipients transplant recipients solid organ
"Cryptococcus_neoformans_32503446:Cryptococcus neoformans
",抑制,immunocompromised im immunocompromised patients immunocom immunocomp immuno immu immunocomprom patients without other comorbidities without other comorbidities without other comorbidities man without other comorbidities 78-year-old man without other comorbidities man without year-old man without other comorbidities without other comorbid 78-year-old man without
"Cryptococcus_neoformans_32951564:Cryptococcus neoformans
",抑制,antiretroviral therapy well-controlled HIV on antiretroviral therapy well-controlled HIV on antiretroviral therapy antiretroviral well-controlled HIV well-controlled HIV on antiretroviral antiretrovira well HIV.ABSTRACT:We report the case of a 38 year-old man living with well-controlled well-controlled HIV on antiretrovira HIV HIV.ABSTRACT:We report the case of a 38 year-old man living with well-controlled HIV HIV on antiretroviral anti HIV.ABSTRACT:We report the case of a 38 year-old man living with well-controlled HIV on antiretroviral HIV on antiretrovira HIV.ABSTRACT:We report the case of a 38 year-old man living with well well-controlled HIV on anti controlled HIV on antiretroviral therapy
"Cryptococcus_neoformans_33040432:Cryptococcus neoformans
",抑制,kidney transplant recipient recipient transplant recipient kidney kidney transplant kidney transplant recipient with two previous graft failures kidney transplant recipient.ABSTRACT:Cryptococcal disease is a rare but often serious infection in solid organ transplant recipients immunosuppression kidney transplant recipient with two previous female kidney transplant recipient transplant immunosuppress kidney transplant recipient with two previous graft kidney transplant recipient.ABSTRACT:Cryptococcal disease is a rare but often serious infection in solid organ kidney transplant recipient with two recipient with two previous graft failures transplant recipient with two previous graft failures kidney transplant recipient.ABSTRACT:Cryptococcal disease is a rare but often serious infection in solid organ transplant recipient with two previous transplant recipient with two previous
"Cryptococcus_neoformans_33273326:Cryptococcus neoformans
",抑制,immunodeficiency virus (HIV)-infected immunodeficiency virus (HIV immunodeficiency virus (HIV)-infected patients immunodeficiency HIV)-infected HIV immunodeficiency virus human immunodeficiency virus (HIV)-infected human immunodeficiency virus (HIV HIV)-infected patients human immunodeficiency virus (HIV)-infected patients im human immunodeficiency human immunodeficiency virus human im human immunode antiretroviral therapy immunodeficiency virus (HIV) immuno
"Cryptococcus_neoformans_33315665:Cryptococcus neoformans
",none,"psoriasis well psoriasis well well controlled psoriasis well controlled of psoriasis of psoriasis well of psoriasis well controlled with history of psoriasis history of psoriasis with history of psoriasis well history of psoriasis well with history of psoriasis well controlled controlled well controlled on history of psoriasis well controlled psoriasis well controlled on ps of woman, with history of psoriasis"
"Cryptococcus_neoformans_33391186:Cryptococcus neoformans
",none,disease patients disease patients s disease s disease patients s Cushing's disease patient with Cushing's disease moon Cushing's 's disease moon face and edema edema moon face and ed ed a patient with Cushing's disease with Cushing's disease patient with Cushing's We report a case of a patient with Cushing's disease moon face and
"Cryptococcus_neoformans_34189175:Cryptococcus neoformans
",抑制,"immunocompromised immunocompromised hosts such as those with advanced im immunocompromised hosts such as those with advanced HIV immunocompromised hosts immunocompromised hosts such as those with advanced HIV, HIV immunocompromised hosts such as those with advanced HIV, HIV-uninfected HIV immunocompromised hosts such as those with advanced HIV-uninfected immunocompromised hosts such as those with advanced HIV, HIV-un HIV-uninfected patients immunocompromised hosts such advanced HIV immunocompromised hosts such as those immunocompromised hosts such as those with advanced HIV, HIV-uninfected patients immuno immunocom immunocompromised hosts such as those with advanced HIV, HIV-unin"
"Cryptococcus_neoformans_34306681:Cryptococcus neoformans
",抑制,"immunocompromised immunocompromised individuals, particularly acquired immunodeficiency syndrome immunocompromised individuals, particularly acquired immunodeficiency syndrome patients im immunocompromised individuals immunocompromised individuals, particularly acquired immunodeficiency immunodeficiency virus (HIV)-infected patients immunodeficiency virus (HIV)-infected immunodeficiency virus (HIV human immunodeficiency virus (HIV)-infected patients immunocompromised individuals, particularly acquired human immunodeficiency virus (HIV)-infected immunodeficiency HIV-infected human immunodeficiency virus (HIV immunodeficiency virus HIV-infected patient human immunodeficiency HIV-infected patient.ABSTRACT:Opportunistic infections are common in human immunodeficiency virus (HIV)-infected HIV)-infected patients"
"Cryptococcus_neoformans_34427689:Cryptococcus neoformans
",none,55-year-old man 55 55-year-old man who had been in in 55-year-old man who had been in the hospital man 55-year-old man who had been in the hospital for elective ablation 55-year-old man who had been in the in the hospital 55-year-old man who had been in 55-year-old man who had been in the hospital for elective situation a SARS-CoV-2 sample from a 55-year-old man in the hospital for elective ablation in the situation a SARS-CoV-2 sample from a 55 55-year-old man who resuscitation situation a SARS-CoV-2 sample from a 55-year-old man situation been in
"Cryptococcus_neoformans_34485078:Cryptococcus neoformans
",抑制,We describe We describe We describe a case of likely patient population. Aspergillus ventilator associated pneumonia is increasingly recognized. We describe patient We describe a this patient population. Aspergillus ventilator associated pneumonia is increasingly recognized. We describe this patient patient population. Aspergillus ventilator associated pneumonia is increasingly recognized. We this patient population. Aspergillus ventilator associated pneumonia is increasingly recognized. We emerging data suggest fungal coinfections also contribute to mortality in this patient patient population describe a case of likely severe COVID-19 pneumonia. this patient population describe a patient population. Aspergillus ventilator associated pneumonia is increasingly recognized. We describe a case of likely emerging data suggest fungal coinfections also contribute to mortality in this patient population patient population. Aspergillus ventilator associated pneumonia is increasingly recognized. We describe a
"Cryptococcus_neoformans_34703755:Cryptococcus neoformans
",抑制,immunosuppression immunosuppress without prior immunosuppression im prior immunosuppression without prior immunosuppress without patient without prior immunosuppression prior immunosuppress without prior immunosup immunos without prior im patient without prior immunosuppress patient without immu immunosuppression that developed a serious fungal infection after the use immunosuppression that developed a serious fungal infection after the use of high dose corticosteroids patient prior
"Cryptococcus_neoformans_34843703:Cryptococcus neoformans
",抑制,"immunocompromised immunocompromised patients, but it can be increasingly seen in immunocompetent immunocompetent immunocompromised patients immunocompromised patients, but it can be increasingly seen in immunocompetent patients immunocompetent patients im immunocompromised patients, but it can be increasingly seen in im patients, but it can be increasingly seen in immunocompetent patients immunocom patients, but it can be increasingly seen in immunocompetent patients immuno immunocompromised patients, immunocomp immunocompromised patients, but it can be increasingly seen in immuno immunocompromised patients, but it can be increasingly seen in immunocompet immunocomprom immunocompromised patients, but it can be increasingly seen in immunocom immu"
"Cryptococcus_neoformans_34937137:Cryptococcus neoformans
",抑制,"immunodeficiency immunodeficiency, including in the haematology/oncology im immunodeficiency, including in the ha immunodeficiency, including in the haematology immunodeficiency, including in the haematology/oncology setting with immunodeficiency immunodeficiency, including in the haema immunodeficiency, immunodeficiency, including in the haematology/on immunode haematology/oncology immuno immunodeficiency, including in the haematology/ with immunodeficiency, including in the haematology/oncology with im ha people with immunodeficiency oncology with"
"Cryptococcus_neoformans_34938636:Cryptococcus neoformans
",抑制,"immunocompetent immunocompromised patient. This is a case report of a patient, who was presumptively immunocompetent immunocompromised immunocompromised patient im immunocompromised patient. This is a case report of a patient, who was presumptively im presumptively immunocompetent immunocompromised patient. This is a case report of a patient, who was presumptively immunocompromised patient. This is a case report of a patient immunocompromised patient. This is a case report of a patient, who was pre was presumptively immunocompetent immunocompromised patient. This is a case report of a patient, who patient, who was presumptively immunocompetent patient. This is a case report of a patient, who was presumptively immunocompetent who was presumptively immunocompetent immunocompromised patient. This is a case report of a patient, who was immunocompromised patient. This is a case report of a patient, who was presumpt immuno immunocompet immunocompromised patient. This is a case report of a patient, who was presumptively immuno"
"Cryptococcus_neoformans_34950394:Cryptococcus neoformans
",none,immunocompetent previously immunocompetent immunocompetent patient im previously immunocompetent patient previously im immunocompet immunocompetent patient complicating coronavirus disease 2019 previously immunocom patient immuno immunocompetent patient complicating immu previously immunocompet previously immunocompetent patient complicating coronavirus disease 2019 previously immunocom previously immuno previously immunocompetent patient complicating previously immu
"Cryptococcus_neoformans_34984166:Cryptococcus neoformans
",none,immunocompetent apparently immunocompetent apparent immunocompetent immunocompetent host im immunocompetent person apparent apparent immunocompetent host apparent im apparently immune reconstitution inflammatory syndrome in an apparently immunocompetent apparently im apparently immunocompetent person immune reconstitution inflammatory syndrome in an apparent immunocompetent immunocompet immunocompetent person with inflammatory syndrome in an apparently immunocompetent immunocompetent person with no immunocom immuno
"Cryptococcus_neoformans_34992845:Cryptococcus neoformans
",抑制,"immunosuppressive immunosuppressive regime im immunosuppressive regimens allograft is directly exposed to fungi in the environment, airway and lung host defenses are impaired, and immunosuppressive immunosuppressive regimens are particularly augmented Lung transplant recipients transplant recipients impaired, and immunosuppressive Lung transplant recipients transplant non lung transplant recipients Lung transplant recipients (LTRs) are at the greatest risk for invasive fungal infections (IFIs) among solid organ transplant transplant recipients (LTRs) are at the greatest risk for invasive fungal infections (IFIs) among solid organ transplant LTR solid organ transplant Lung transplant recipients (LTR solid organ transplant (SOT) recipients"
"Cryptococcus_neoformans_7489624:Cryptococcus neoformans
",抑制,immunodeficiency virus (HIV human immunodeficiency virus (HIV acquired immunodeficiency syndrome immunodeficiency immunodeficiency virus acquired immunodeficiency acquired immunodeficiency syndrome human immunodeficiency human immunodeficiency virus HIV im acquired im HIV positive human human im HIV positive patients immunode acquired immunode human immunode
"Cryptococcus_neoformans_8645790:Cryptococcus neoformans
",抑制,"ATLL ATLL, ATLL, there are few case reports detailing infectious complications in patients with chronic ATLL ATLL, there are few case reports detailing infectious complications in patients with chronic ATLL. leukemia/lymphoma: ATLL. adult T-cell leukemia/lymphoma leukemia/lymphoma chronic adult T-cell leukemia/lymphoma T-cell leukemia/lymphoma AT chronic ATLL lymphoma adult T-cell leukemia ATLL, there are few case reports detailing infectious complications in patients with chronic cell leukemia/lymphoma leukemia patients with chronic adult T-cell leukemia/lymphoma ATLL, there are few case reports detailing infectious complications in patients with chronic AT human"
"Cryptococcus_neoformans_8714157:Cryptococcus neoformans
",抑制,"HIV (+) patient AIDS AIDS patient HIV HIV (+) HIV (+ HIV (+) patients patient +) patient ) patient HIV ( HIV (+) patient, with previous +) HIV (+) patient, with ) (+) patient 27 year-old male HIV (+) patient HIV (+) patient, with previous opportunistic infections + male HIV (+) patient"
"Cryptococcus_neoformans_8837378:Cryptococcus neoformans
",抑制,"immunocompetent HIV-infected HIV HIV infection im HIV infection of man HIV-infected persons immunocompetent humans infected immunocompet immunocom infection HIV-infected persons in Berlin, a CD4 lymphocyte count HIV-infected persons in Berlin HIV- HIV-infected persons in Berlin, a CD4 lymphocyte immuno HIV infection of immunocompetent humans and the advantage of specific C. neoformans culture. immu"
"Cryptococcus_neoformans_8855629:Cryptococcus neoformans
",抑制,"HIV infected patients diagnosed in Srinagarind Hospital from February 1992 to 1994. We found 95 episodes of pulmonary infections in 88 HIV infected patients HIV infected patients HIV infected patients diagnosed in Srinagarind Hospital from February 1992 to 1994. We found 95 episodes of pulmonary infections in 88 HIV infected HIV infected HIV HIV infected patients diagnosed in Srinagarind Hospital from February 1992 to 1994. We found 95 episodes of pulmonary infections in 88 HIV HIV infected patients diagnosed in Srinagarind Hospital from February 1992 to 1994. We found 95 episodes of pulmonary infections in 88 HIV infected patients.ABSTRACT:We retrospectively reviewed causes, clinical presentations and chest radiographs of pulmonary infections in symptomatic 88 HIV infected patients 88 HIV infected infected patients patients symptomatic HIV infected patients diagnosed in Srinagarind Hospital from February 1992 to 1994. We found 95 episodes of pulmonary infections in 88 HIV infected patients infected symptomatic HIV infected patients diagnosed in Srinagarind Hospital from February 1992 to 1994. We found 95 episodes of pulmonary infections in 88 HIV infected patients diagnosed in Srinagarind Hospital from February 1992 to 1994. We found 95 episodes of pulmonary infections in 88 HIV infected patients symptomatic HIV infected patients infected patients diagnosed in Srinagarind Hospital from February 1992 to 1994. We found 95 episodes of pulmonary infections in 88 HIV infected patients 88 HIV patients diagnosed in Srinagarind Hospital from February 1992 to 1994. We found 95 episodes of pulmonary infections in 88 HIV infected"
"Cryptococcus_neoformans_9100786:Cryptococcus neoformans
",抑制,immunodeficiency virus (HIV human immunodeficiency virus (HIV immunodeficiency immunodeficiency virus human immunodeficiency human immunodeficiency virus immunodeficiency virus (HIV)-positive patients HIV human human immunodeficiency virus (HIV)-positive patients immunodeficiency virus (HIV)-positive im human immunodeficiency virus (HIV)-positive human im HIV)-positive patients HIV-positive patients HIV)-positive immunode human immunode immunodeficiency virus (
"Cryptococcus_neoformans_9298723:Cryptococcus neoformans
",抑制,"immunodeficiency immunodeficiency virus (HIV) infection immunodeficiency virus human immunodeficiency HIV-infected human immunodeficiency virus (HIV) infection immunodeficiency virus (HIV human immunodeficiency virus immunodeficiency virus (HIV) infection, women and children are becoming the fastest growing group of newly infected HIV immunodeficiency virus (HIV) infection, women and children are becoming the fastest growing group of newly infected patients. With longer survival after HIV im human immunodeficiency virus (HIV HIV-infected individuals human immunodeficiency virus (HIV) infection, women and children are becoming the fastest growing group of newly infected HIV) infection, women and children are becoming the fastest growing group of newly infected patients. With longer survival after HIV infection, more women infected with HIV immunodeficiency virus (HIV) infection, women and children are becoming the fastest growing group of newly infected patients human im immunode immunodeficiency virus (HIV) infection, women"
"Cryptococcus_neoformans_9446191:Cryptococcus neoformans
",抑制,"HIV-infected HIV-infected patients HIV-infected patients, mainly those without prophylaxis. The clinical presentation of pulmonary tuberculosis varies with the state of immunity immune infected immunity HIV infected patients patients HIV-infected patients, mainly those without prophylaxis. The clinical presentation of pulmonary tuberculosis varies with the state infected patients, mainly those without prophylaxis. The clinical presentation of pulmonary tuberculosis varies with the state of immunity HIV-infected individuals immune status patients, mainly those without prophylaxis. The clinical presentation of pulmonary tuberculosis varies with the state of immunity HIV-infected patients, mainly those without patients' immune -infected state of immunity HIV- HIV-infected patients, mainly those without prophylaxis"
"Cryptococcus_neoformans_9480480:Cryptococcus neoformans
",抑制,Immunodeficiency Immunodeficiency Virus Immunodeficiency Virus (HIV) infected Human Immunodeficiency Immunodeficiency Virus (HIV I Human Immunodeficiency Virus HIV) infected Human Immunodeficiency Virus (HIV) infected Immunodeficiency V HIV Immunode Immunodeficiency Vir Human Immunodeficiency Virus (HIV Immunodeficiency Virus (HIV) infected patients Human I HIV) infected patients with pulmonary cryptococcosis (PC). PC was the first AIDS-defining manifestation in nine patients. HIV infection Immunodeficiency Virus (HIV) Immunodeficiency Virus ( Human Immunodeficiency V
"Cryptococcus_neoformans_9480518:Cryptococcus neoformans
",抑制,HIV-infected HIV-infected patient.ABSTRACT:We report on a 32-year old HIV-infected HIV HIV-infected patient.ABSTRACT:We report on a 32-year old HIV HIV-infected patient HIV-infected male patient HIV-infected patient.ABSTRACT:We report on a 32-year old HIV-infected male patient infected HIV- HIV-infected male HIV-infected patient.ABSTRACT:We report on a 32-year old HIV- HIV-infected patient.ABSTRACT:We report on a 32-year old HIV-infected male -infected infected patient.ABSTRACT:We report on a 32-year old HIV-infected HIV-infected male patient who was admitted to the hospital in a comatose state patient.ABSTRACT:We report on a 32-year old HIV-infected HIV-infected patient.ABSTRACT:We report on a 32 infected male patient infected patient.ABSTRACT:We report on a 32-year old HIV infected patient
"Cryptococcus_neoformans_9653427:Cryptococcus neoformans
",none,"healthy previously healthy previously healthy women previously healthy women healthy women who developed cryptococcal pneumonia during pregnancy, and 1 pregnant previously healthy women who developed cryptococcal pneumonia during pregnancy, and 1 pregnant healthy women who developed cryptococcal pneumonia during pregnancy, and 1 pregnant woman previously healthy women who developed cryptococcal pneumonia during pregnancy, and 1 pregnant woman we describe 4 previously healthy healthy women who developed cryptococcal pneumonia during pregnancy, and 1 pregnant woman with cryptococcal meningitis. previously healthy women who developed cryptococcal pneumonia during pregnancy, and 1 pregnant woman with cryptococcal meningitis. healthy women who healthy women who developed cryptococcal pneumonia during pregnancy, and previously healthy women who healthy women who developed cryptococcal pneumonia during pregnancy previously healthy women who developed cryptococcal pneumonia during pregnancy, and previously healthy women who developed cryptococcal pneumonia during pregnancy pregnant healthy women who developed cryptococcal pneumonia during pregnancy,"
"Cryptococcus_neoformans_9894953:Cryptococcus neoformans
",抑制,"immunocompromised immunosuppression immunosuppress immunocompromised patients immunodeficiency syndrome. or immunosuppression acquired immunodeficiency syndrome. or immunosuppression immunosuppression after solid organ or bone marrow transplantation immunocompromised patients. These infections occur primarily in patients with chemotherapy-induced neutropenia immunocompromised patients. These infections occur primarily in patients with chemotherapy-induced neutropenia, acquired im immunodeficiency syndrome. or immunosuppress acquired immunodeficiency syndrome. or immunosuppress immunocompromised patients. These infections occur primarily in patients with chemotherapy-induced immunocompromised patients. These infections occur primarily in patients with chemotherapy-induced neutropenia, acquired im immunosuppression after solid organ or bone marrow transplant immunosuppression after solid organ immunodeficiency syndrome. or immunosuppression after solid organ or bone marrow transplantation immunodeficiency immunosuppression after solid organ or bone marrow acquired immunodeficiency syndrome. or immunosuppression after solid organ or bone marrow transplantation"
"Cryptococcus_terreus_33144899:Cryptococcus terreus
",抑制,"hematopoietic stem cell transplant (HSCT) recipients immunosuppressive haematological malignancies Hematopoietic Stem Cell Transplant Recipients HSCT) recipients malignancies hematopoietic stem cell transplant (HSCT hematopoietic stem cell transplant haematological malignancies including leukemia hematopoietic stem cell transplant (H hem recipients stem cell transplant (HSCT) recipients haematological ma malignancies including leukemia haematological malignancies including leukemias, multiple myeloma, and lymphoma hematopoietic haematological hematopoietic stem Recipients:"
"Cryptococcus_terreus_397620:Cryptococcus terreus
",none,". disorders males patients with bronchopulmonary disorders patients with bronchopulmonary disorders bronchopulmonary disorders patients. These isolations came from 3 (0.4%) of the760 patients males, with of patients with bronchopulmonary disorders patients with patients with bronchopulmonary specificially patients. These isolations came from 3 (0.4%) of the7 were males the760 patients; males, disorders and in the air patients. These isolations came from 3 (0.4%) of the760 resident"
"Cryptococcus_uniguttulatus_397620:Cryptococcus uniguttulatus
",none,". br disorders males patients patients with bronchopulmonary disorders with bronchopulmonary disorders bronchopulmonary disorders patients. These isolations came from 3 (0.4%) of the760 patients with br males, with of patients with bronchopulmonary disorders resident of the respiratory tract. The results suggest that C. neoformans is of uncommon occurrence in the respiratory tract of patients with br patients with br males, patients with bronchopulmonary patients with with were males the760 patients;"
"Cunninghamella_bertholletiae_10531680:Cunninghamella bertholletiae
",抑制,"ICR I on the increase on mice . minimal improvement of survival, comparable to the poor result of this treatment in actual human cases. poor result of this treatment in actual human cases. on the ICR mice increase on the increase in recent years. on the increase in recent years. However, little is known about this fungus and its infection. . In fact, our model has many minimal improvement of survival, comparable to the poor result of this treatment in actual human cases. In fact, our model has many poor result of this treatment in actual human cases. In fact, our model has many . In fact, our model has many similarities to the actual human infection by C. bertholletiae, and . In fact, our model has many similarities to the actual human infection by C. bertholletiae, and will be useful for further investigations we made a murine model, and to our knowledge, the first infectious model of this fungus. ICR made a murine model, and to our knowledge, the first infectious model of this fungus. ICR"
"Cunninghamella_bertholletiae_11049769:Cunninghamella bertholletiae
",抑制,immunocompromised immunocompromised patients im immunocompromised patients that occurred during a 2-year period at 1 center. Three of the patients were receiving immunocom immuno immunocompromised patients that occurred during a 2-year period at 1 center immunocomp immunocompromised patients that occurred during a 2-year period at 1 immu immunocompromised patients that occurred during a 2-year period at immunocomprom patients 4 immunocompromised immunocompromised patients.ABSTRACT:Cunninghamella 4 immunocompromised patients 4 im patients that occurred during a 2-year period at 1 center. Three of the patients were receiving patients that occurred during a 2-year period at 1 center patients that occurred during a 2-year period at 1
"Cunninghamella_bertholletiae_11444582:Cunninghamella bertholletiae
",none,bone marrow transplant allogeneic bone marrow transplant bone marrow transplant patient transplant an allogeneic bone marrow transplant transplant patient allogeneic allogeneic bone bone received an allogeneic bone marrow transplant allogeneic bone marrow bone marrow man who had received an allogeneic bone marrow transplant patient an allogeneic an allogeneic bone all allogeneic bone marrow transplant. an allogeneic bone marrow received an allogeneic
"Cunninghamella_bertholletiae_11828731:Cunninghamella bertholletiae
",抑制,immunocompromised non-immunocompromised im immunocompromised woman -immunocompromised non non-im non-immunocompromised woman immunocompromised woman].ABSTRACT:A 74 immunocompromised woman].ABSTRACT:A 74-year-old woman immunocom immuno non- immunocompromised woman].ABSTRACT:A 74-year-old immunocomp immu immunocompromised woman].ABSTRACT:A 74-year non-immunocompromised woman].ABSTRACT:A 74 immunocomprom non-immunocompromised woman].ABSTRACT:A 74-year-old woman
"Cunninghamella_bertholletiae_12324922:Cunninghamella bertholletiae
",抑制,immunosuppressed immunosuppressed hosts. There have been only three previous cases of infection with this fungus reported in solid-organ recipients immunosuppressed hosts im immunosuppression immunosuppressed hosts. There have been only three previous cases of infection with this fungus reported in solid-organ immunosuppressed hosts. There have been only three previous cases of infection with this fungus reported in solid immunosuppress kidney transplantation immunosup immunos transplant solid-organ recipients immunosuppressed hosts. There have been only three previous cases of infection with this fungus reported in solid- living-related kidney transplant transplantation.ABSTRACT:Cunninghamella immu kidney transplant kidney a living-related kidney transplant
"Cunninghamella_bertholletiae_15124871:Cunninghamella bertholletiae
",抑制,immunocompromized insulin-dependent diabetic immunocompromized patients insulin-dependent insulin-dependent diabetic man who was treated with tacrolimus and steroids after kidney transplantation kidney transplant recipient im recipient transplant recipient diabetic insulin immunocompromized patients suffering from ha insulin-dependent di kidney transplant diabetic man who was treated with tacrolimus and steroids after kidney transplantation insulin-dependent diabetic man who was treated with tacrolimus and steroids after kidney kidney transplantation insulin-dependent diabetic man immunocompromized patients suffering from kidney
"Cunninghamella_bertholletiae_15363015:Cunninghamella bertholletiae
",抑制,"immunocompromised acute lymphocytic leukaemia immunocompromised hosts. In this study, we report a case of pulmonary mucormycosis associated with acute acute im immunocompromised hosts leukaemia acute lymphocytic leuka acute lymphocytic lymphocytic leukaemia immunocompromised hosts. In this study, we report a case of pulmonary mucormycosis associated with acute l acute lymphocytic le immunocompromised hosts. In this study, we report a case of pulmonary mucormycosis associated with immunocompromised hosts. In this study, we report a case of pulmonary mucormycosis associated with acute lymphocytic leukaemia acute l immunocompromised hosts. In this study, we report a case of pulmonary mucormycosis associated with acute lymph immunocom immunocomp acute lymphoc immuno"
