,物种名称,是否是致病菌,预测概率,样本量,样本量文本,年龄,年龄文本,患者性别,性别文本,免疫状态,免疫文本,证据等级,证据文本,原文链接,标注方式
Parapusillimonas_28632113,Parapusillimonas,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/28632113/,人工标注
Acinetobacter_pittii_28683724,Acinetobacter pittii,yes,[1],1,A,17-65,45-year-old,女,woman,受损,immunocompromised,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,Broncho-alveolar lavage cultures,https://pubmed.ncbi.nlm.nih.gov/28683724/,人工标注
Sphingobacterium_mizutaii_28699577,Sphingobacterium mizutaii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/28699577/,人工标注
Burkholderia_pseudomultivorans_28705667,Burkholderia pseudomultivorans,yes,[1],10-100,54 patients,NA,NA,NA,NA,NA,NA,3：血及无菌体液（如脓胸液）,bacteraemia,https://pubmed.ncbi.nlm.nih.gov/28705667/,人工标注
Burkholderia_arboris_28705667,Burkholderia arboris,yes,[1],10-100,54 patients,NA,NA,NA,NA,NA,NA,3：血及无菌体液（如脓胸液）,bacteraemia,https://pubmed.ncbi.nlm.nih.gov/28705667/,人工标注
Myroides_28708872,Myroides,no,[1],＞100,NA,1岁以下,NA,NA,NA,NA,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,NA,https://pubmed.ncbi.nlm.nih.gov/28708872/,人工标注
Pseudomonas_pseudoalcaligenes_28713350,Pseudomonas pseudoalcaligenes,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/28713350/,人工标注
Pseudomonas_monteilii_28738817,Pseudomonas monteilii,yes,[1],1,a,17-65,30-year-old,男,male,正常,HIV negative,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,a sputum sample,https://pubmed.ncbi.nlm.nih.gov/28738817/,人工标注
Francisella_philomiragia_28744482,Francisella philomiragia,no,[1],1,a,17-65,63-year-old,女,woman,NA,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,NA,https://pubmed.ncbi.nlm.nih.gov/28744482/,人工标注
Pantoea_agglomerans_28764775,Pantoea agglomerans,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/28764775/,人工标注
Erwinia_herbicola_28764775,Erwinia herbicola,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/28764775/,人工标注
Erwinia_milletiae_28764775,Erwinia milletiae,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/28764775/,人工标注
Erwinia_species_28764775,Erwinia species,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/28764775/,人工标注
Pantoea_agglomerans_28780309,Pantoea agglomerans,yes,[1],10-100,14 patients,1-17,16.5 yea,群体,patients,正常,underlying comorbidities,3：血及无菌体液（如脓胸液）,"positive specimens included pus, urine, tracheal aspirate, blood, and central venous line samples that yielded P. agglomerans",https://pubmed.ncbi.nlm.nih.gov/28780309/,人工标注
Erwinia_herbicola_28780309,Erwinia herbicola,no,[1],NA,14 patients,NA,16.5 yea,NA,patients,NA,underlying comorbidities,NA,"positive specimens included pus, urine, tracheal aspirate, blood, and central venous line samples that yielded P. agglomerans",https://pubmed.ncbi.nlm.nih.gov/28780309/,人工标注
Erwinia_milletiae_28780309,Erwinia milletiae,no,[1],NA,14 patients,NA,16.5 yea,NA,patients,NA,underlying comorbidities,NA,"positive specimens included pus, urine, tracheal aspirate, blood, and central venous line samples that yielded P. agglomerans",https://pubmed.ncbi.nlm.nih.gov/28780309/,人工标注
Pseudomonas_luteola_28790230,Pseudomonas luteola,yes,[1],1,:A 46-year-old man,17-65,46-year-old,男,man,NA,NA,3：血及无菌体液（如脓胸液）,"Moreover, the result of culture from suction",https://pubmed.ncbi.nlm.nih.gov/28790230/,人工标注
Ralstonia_mannitolilytica_28791938,Ralstonia mannitolilytica,yes,[1],10-100,14 (86%) patients,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/28791938/,人工标注
Capnocytophaga_canimorsus_28831382,Capnocytophaga canimorsus,yes,[1],1,A 53-year-old rheumatoid arthritis male,17-65,53-year-old,男,male,受损,immunocompromised,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,C. canimorsus was identified from his culture samples using a species-specific polymerase chain react,https://pubmed.ncbi.nlm.nih.gov/28831382/,人工标注
Derxia_28950929,Derxia,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/28950929/,人工标注
Burkholderia_lata_28956352,Burkholderia lata,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/28956352/,人工标注
Sphingobacterium_spiritivorum_28962584,Sphingobacterium spiritivorum,yes,[1],1,An 80-year-old Japanese man,65以上,80-year-old,男,man,受损,immunocompromised,3：血及无菌体液（如脓胸液）,after the isolation of a glucose non-fermenting Gram-negative rod from blood cultures,https://pubmed.ncbi.nlm.nih.gov/28962584/,人工标注
Brucella_pinnipedialis_28985698,Brucella pinnipedialis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/28985698/,人工标注
Brucella_ceti_28985698,Brucella ceti,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/28985698/,人工标注
Yersinia_ruckeri_29017944,Yersinia ruckeri,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29017944/,人工标注
Photobacterium_damselae_29021795,Photobacterium damselae,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29021795/,人工标注
Streptobacillus_moniliformis_29024796,Streptobacillus moniliformis,yes,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29024796/,人工标注
Burkholderia_seminalis_29055510,Burkholderia seminalis,no,[1],10-100,46 cystic fibrosis patients,NA,NA,NA,NA,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,NA,https://pubmed.ncbi.nlm.nih.gov/29055510/,人工标注
Burkholderia_pyrrocinia_29055510,Burkholderia pyrrocinia,no,[1],10-100,46 cystic fibrosis patients,NA,NA,NA,NA,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,NA,https://pubmed.ncbi.nlm.nih.gov/29055510/,人工标注
Pandoraea_pulmonicola_29056926,Pandoraea pulmonicola,no,[1],1,in a,NA,NA,NA,NA,NA,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,isolates recovered from 18 sputum samples,https://pubmed.ncbi.nlm.nih.gov/29056926/,人工标注
Citrobacter_koseri_29062711,Citrobacter koseri,yes,[1],1,a case,65以上,76-year-old,男,man,正常,immunocompetent,3：血及无菌体液（如脓胸液）,Blood and CSF cultures grew Citrobacter koseri,https://pubmed.ncbi.nlm.nih.gov/29062711/,人工标注
Leclercia_adecarboxylata_29063630,Leclercia adecarboxylata,no,[1],NA,NA,NA,NA,NA,NA,受损,immunocompromised,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29063630/,人工标注
Providencia_stuartii_29147403,Providencia stuartii,no,[1],＞100,NA,NA,NA,NA,NA,受损,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,NA,https://pubmed.ncbi.nlm.nih.gov/29147403/,人工标注
Psychrobacter_sanguinis_29157308,Psychrobacter sanguinis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29157308/,人工标注
Pantoea_agglomerans_29164118,Pantoea agglomerans,no,[1],10-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29164118/,人工标注
Erwinia_herbicola_29164118,Erwinia herbicola,no,[1],10-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29164118/,人工标注
Erwinia_milletiae_29164118,Erwinia milletiae,no,[1],10-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29164118/,人工标注
Comamonas_terrigena_29201017,Comamonas terrigena,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29201017/,人工标注
Aeromonas_media_29201017,Aeromonas media,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29201017/,人工标注
Capnocytophaga_leadbetteri_29217345,Capnocytophaga leadbetteri,yes,[1],1,a HIV-infected patien,65以上,NA,男,NA,受损,HIV-infected patient,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,NA,https://pubmed.ncbi.nlm.nih.gov/29217345/,人工标注
Capnocytophaga_sputigena_29287696,Capnocytophaga sputigena,yes,[1],1,NA,65以上,NA,男,NA,受损,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,NA,https://pubmed.ncbi.nlm.nih.gov/29287696/,人工标注
Brucella_ovis_29331367,Brucella ovis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29331367/,人工标注
Legionella_hackeliae_29409979,Legionella hackeliae,yes,[1],1,A,65以上,68-year-old,男,male,NA,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,a novel Legionella species from a respiratory specimen,https://pubmed.ncbi.nlm.nih.gov/29409979/,人工标注
Suttonella_indologenes_29456228,Suttonella indologenes,no,[1],1,a peritonitis case,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29456228/,人工标注
Acinetobacter_guillouiae_29458492,Acinetobacter guillouiae,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29458492/,人工标注
Acinetobacter_bereziniae_29458492,Acinetobacter bereziniae,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29458492/,人工标注
Photobacterium_damselae_29464363,Photobacterium damselae,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29464363/,人工标注
Achromobacter_ruhlandii_29504898,Achromobacter ruhlandii,yes,[1],＞100,500,NA,NA,NA,patients,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,NA,https://pubmed.ncbi.nlm.nih.gov/29504898/,人工标注
Pantoea_agglomerans_29526198,Pantoea agglomerans,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29526198/,人工标注
Erwinia_herbicola_29526198,Erwinia herbicola,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29526198/,人工标注
Erwinia_milletiae_29526198,Erwinia milletiae,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29526198/,人工标注
Leclercia_adecarboxylata_29526198,Leclercia adecarboxylata,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29526198/,人工标注
Burkholderia_metallica_29538493,Burkholderia metallica,no,[1],10-100,34,NA,NA,NA,NA,NA,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,sputum and bronchoalveolar lavage,https://pubmed.ncbi.nlm.nih.gov/29538493/,人工标注
Providencia_rettgeri_29541448,Providencia rettgeri,no,[1],＞100,NA,NA,NA,群体,NA,NA,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,"urine 97 (48.5%), wound swabs 47 (23.5%), sputum 22 (11.0%)",https://pubmed.ncbi.nlm.nih.gov/29541448/,人工标注
Citrobacter_koseri_29541448,Citrobacter koseri,no,[1],＞100,NA,NA,NA,群体,NA,NA,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,"urine 97 (48.5%), wound swabs 47 (23.5%), sputum 22 (11.0%)",https://pubmed.ncbi.nlm.nih.gov/29541448/,人工标注
Shigella_dysenteriae_29593668,Shigella dysenteriae,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29593668/,人工标注
Aeromonas_sobria_29661119,Aeromonas sobria,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29661119/,人工标注
Legionella_steigerwaltii_29679057,Legionella steigerwaltii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29679057/,人工标注
Yersinia_rucker_29684602,Yersinia rucker,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29684602/,人工标注
Yersinia_ruckeri_29684602,Yersinia ruckeri,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29684602/,人工标注
Brucella_pinnipedialis_29697310,Brucella pinnipedialis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29697310/,人工标注
Capnocytophaga_sputigena_29703650,Capnocytophaga sputigena,yes,[1],1,A,65以上,67-year-old,男,man,NA,NA,4：气管镜活检组织培养出病原体，或者支气管肺泡灌洗液（BALF）定量培养>10**4,Percutaneous needle aspiration of lung abscess,https://pubmed.ncbi.nlm.nih.gov/29703650/,人工标注
Achromobacter_mucicolens_29719162,Achromobacter mucicolens,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29719162/,人工标注
Achromobacter_animicus_29719162,Achromobacter animicus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29719162/,人工标注
Bartonella_quintana_29728431,Bartonella quintana,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29728431/,人工标注
Bartonella_bacilliformis_29728431,Bartonella bacilliformis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29728431/,人工标注
Brucella_canis_29740101,Brucella canis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,1：同时具备肺组织病理+病原学证据,bacterial isolation,https://pubmed.ncbi.nlm.nih.gov/29740101/,人工标注
Shewanella_algae_29796395,Shewanella algae,yes,[1],1,a case,65以上,84-year-old,男,male,NA,NA,3：血及无菌体液（如脓胸液）,NA,https://pubmed.ncbi.nlm.nih.gov/29796395/,人工标注
Proteus_hauser_29805463,Proteus hauser,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29805463/,人工标注
Proteus_hauseri_29805463,Proteus hauseri,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29805463/,人工标注
Edwardsiella_hoshinae_29882594,Edwardsiella hoshinae,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29882594/,人工标注
Cupriavidus_pauculus_29967861,Cupriavidus pauculus,yes,[1],1,A,65以上,67-year-old,男,man,受损,immunocompromised,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,Tracheal aspirate culture,https://pubmed.ncbi.nlm.nih.gov/29967861/,人工标注
Raoultella_ornithinolytica_29977781,Raoultella ornithinolytica,yes,[1],1-10,two cases,17-65,NA,男,NA,正常,immunocompeten,4：气管镜活检组织培养出病原体，或者支气管肺泡灌洗液（BALF）定量培养>10**4,NA,https://pubmed.ncbi.nlm.nih.gov/29977781/,人工标注
Brucella_ovis_29978136,Brucella ovis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29978136/,人工标注
Francisella_noatunensis_30017930,Francisella noatunensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30017930/,人工标注
Pseudomonas_pseudoalcaligenes_30024361,Pseudomonas pseudoalcaligenes,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30024361/,人工标注
Bartonella_henselae_30027827,Bartonella henselae,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30027827/,人工标注
Kosakonia_cowanii_30083836,Kosakonia cowanii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30083836/,人工标注
Enterobacter_cowanii_30083836,Enterobacter cowanii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30083836/,人工标注
Klebsiella_singaporensis_30083836,Klebsiella singaporensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30083836/,人工标注
Klebsiella_variicola_30083836,Klebsiella variicola,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30083836/,人工标注
Shewanella_algae_30185170,Shewanella algae,yes,[1],1-10,two cases,NA,NA,男,male patients,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,bronchoalveolar lavage in case I was also identified,https://pubmed.ncbi.nlm.nih.gov/30185170/,人工标注
Providencia_stuarti_30214088,Providencia stuarti,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30214088/,人工标注
Achromobacter_mucicolens_30217850,Achromobacter mucicolens,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,worldwide emerging opportunistic pathogens,https://pubmed.ncbi.nlm.nih.gov/30217850/,人工标注
Achromobacter_animicus_30217850,Achromobacter animicus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,worldwide emerging opportunistic pathogens,https://pubmed.ncbi.nlm.nih.gov/30217850/,人工标注
Photobacterium_damselae_30227256,Photobacterium damselae,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30227256/,人工标注
Aeromonas_veronii_30311486,Aeromonas veronii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30311486/,人工标注
Cronobacter_malonaticus_30315374,Cronobacter malonaticus,no,[1],1,a fatal neona,NA,NA,NA,NA,NA,NA,3：血及无菌体液（如脓胸液）,was isolated from the blood of a fatal neonatal,https://pubmed.ncbi.nlm.nih.gov/30315374/,人工标注
Klebsiella_variicola_30356723,Klebsiella variicola,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30356723/,人工标注
Klebsiella_singaporensis_30356723,Klebsiella singaporensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30356723/,人工标注
Providencia_stuartii_30364596,Providencia stuartii,yes,[1],1,present the case o,17-65,31-year-old,男,man,NA,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,NA,https://pubmed.ncbi.nlm.nih.gov/30364596/,人工标注
Moraxella_lacunata_30369588,Moraxella lacunata,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30369588/,人工标注
Klebsiella_variicola_30427763,Klebsiella variicola,no,[1],1,a 41-year-old woman,17-65,41-year-old,女,woman,NA,NA,3：血及无菌体液（如脓胸液）,from the culture of a respiratory catheter,https://pubmed.ncbi.nlm.nih.gov/30427763/,人工标注
Klebsiella_singaporensis_30427763,Klebsiella singaporensis,no,[1],1,a 41-year-old woman,17-65,41-year-old,女,woman,NA,NA,3：血及无菌体液（如脓胸液）,from the culture of a respiratory catheter,https://pubmed.ncbi.nlm.nih.gov/30427763/,人工标注
Brucella_pinnipedialis_30460915,Brucella pinnipedialis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30460915/,人工标注
Parapusillimonas_30465641,Parapusillimonas,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30465641/,人工标注
Candidimonas_30465641,Candidimonas,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30465641/,人工标注
Leclercia_adecarboxylata_30488747,Leclercia adecarboxylata,yes,[1],1,74 cases,NA,NA,女,NA,抑制,immunocompromised,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,NA,https://pubmed.ncbi.nlm.nih.gov/30488747/,人工标注
Kerstersia_gyiorum_30555142,Kerstersia gyiorum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30555142/,人工标注
Aeromonas_jandaei_30609084,Aeromonas jandaei,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30609084/,人工标注
Aeromonas_dhakensis_30609084,Aeromonas dhakensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30609084/,人工标注
Pandoraea_pnomenusa_30676309,Pandoraea pnomenusa,no,[1],1,a CF patient,NA,NA,NA,NA,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,wo bacterial isolates initially recovered from consecutive sputum samples,https://pubmed.ncbi.nlm.nih.gov/30676309/,人工标注
Neisseria_animalis_30719234,Neisseria animalis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,are pathogenic bacteria adapted to reside,https://pubmed.ncbi.nlm.nih.gov/30719234/,人工标注
Roseomonas_mucosa_30719426,Roseomonas mucosa,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30719426/,人工标注
Roseomonas_30719426,Roseomonas,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30719426/,人工标注
Pantoea_septica_30755259,Pantoea septica,no,[1],1,A 38-year-old Japanese woman,17-65,38-year-old,女,woman,NA,NA,3：血及无菌体液（如脓胸液）,blood culture,https://pubmed.ncbi.nlm.nih.gov/30755259/,人工标注
Erwinia_ananas_30755259,Erwinia ananas,no,[1],1,A 38-year-old Japanese woman,17-65,38-year-old,女,woman,NA,NA,3：血及无菌体液（如脓胸液）,blood culture,https://pubmed.ncbi.nlm.nih.gov/30755259/,人工标注
Erwinia_uredovora_30755259,Erwinia uredovora,no,[1],1,A 38-year-old Japanese woman,17-65,38-year-old,女,woman,NA,NA,3：血及无菌体液（如脓胸液）,blood culture,https://pubmed.ncbi.nlm.nih.gov/30755259/,人工标注
Pantoea_ananatis_30755259,Pantoea ananatis,no,[1],1,A 38-year-old Japanese woman,17-65,38-year-old,女,woman,NA,NA,3：血及无菌体液（如脓胸液）,blood culture,https://pubmed.ncbi.nlm.nih.gov/30755259/,人工标注
Shigella_dysenteriae_30764957,Shigella dysenteriae,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30764957/,人工标注
Bergeyella_zoohelcum_30817020,Bergeyella zoohelcum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30817020/,人工标注
Streptobacillus_moniliformis_30898293,Streptobacillus moniliformis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30898293/,人工标注
Alcaligenes_faecalis_30918144,Alcaligenes faecalis,no,[1],1-10,7 cases,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30918144/,人工标注
Pseudomonas_luteola_30936664,Pseudomonas luteola,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30936664/,人工标注
Escherichia_fergusonii_30936664,Escherichia fergusonii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30936664/,人工标注
Ochrobactrum_anthropi_30936664,Ochrobactrum anthropi,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30936664/,人工标注
Ochrobactrum_anthropi_30951567,Ochrobactrum anthropi,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30951567/,人工标注
Kerstersia_gyiorum_30978196,Kerstersia gyiorum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30978196/,人工标注
Alcaligenes_aquatilis_30978196,Alcaligenes aquatilis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30978196/,人工标注
Alcaligenes_faecalis_30978196,Alcaligenes faecalis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/30978196/,人工标注
Citrobacter_koseri_31006742,Citrobacter koseri,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/31006742/,人工标注
Delftia_acidovorans_31011526,Delftia acidovorans,yes,[1],1,We report a similar case,17-65,NA,女,NA,NA,NA,3：血及无菌体液（如脓胸液）,NA,https://pubmed.ncbi.nlm.nih.gov/31011526/,人工标注
Streptobacillus_moniliformis_31015812,Streptobacillus moniliformis,no,[1],10-100,Eleven cases of R,NA,NA,NA,NA,NA,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,confirmed with identification of S. moniliformis by culture or molecular techniques,https://pubmed.ncbi.nlm.nih.gov/31015812/,人工标注
Bartonella_quintana_31026253,Bartonella quintana,no,[1],1,A,17-65,A 28-year-ol,男,man,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,Nucleic acid amplification testing for 16S ribosomal RNA (rRNA) using valve tissue was diagnostic,https://pubmed.ncbi.nlm.nih.gov/31026253/,人工标注
Ewingella_americana_31060497,Ewingella americana,yes,[1],1,A,1-17,4-year-,女,girl,NA,NA,3：血及无菌体液（如脓胸液）,blood culture,https://pubmed.ncbi.nlm.nih.gov/31060497/,人工标注
Legionella_bozemanae_31072645,Legionella bozemanae,yes,[1],10-100,17 BAL (36%) were positive,NA,NA,NA,NA,抑制,HIV-associated pneumonia,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,by quantitative polymerase chain reaction,https://pubmed.ncbi.nlm.nih.gov/31072645/,人工标注
Raoultella_ornithinolytica_31111257,Raoultella ornithinolytica,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/31111257/,人工标注
Acinetobacter_johnsonii_31133310,Acinetobacter johnsonii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/31133310/,人工标注
